MN run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
1	1.112908373448769E8	80.10%	93.12%	76.40%	1.4s
2	6.175631091151906E7	44.51%	73.07%	74.98%	3.0s
3	3.877379117968715E7	37.21%	59.00%	73.15%	2.8s
4	2.1192399834861353E7	45.34%	45.29%	69.71%	2.8s
5	1.4458196112832E7	31.78%	39.25%	71.96%	2.8s
6	1.0901006237380842E7	24.60%	34.43%	69.61%	2.8s
7	9635713.533949254	11.61%	32.08%	69.38%	2.8s
8	9097126.022581328	5.59%	31.20%	67.22%	2.8s
9	8550361.963021303	6.01%	29.66%	66.31%	2.9s
10	8108151.27433975	5.17%	28.76%	65.00%	2.8s
11	7900316.53542132	2.56%	28.36%	63.01%	2.9s
12	7645367.50027553	3.23%	27.64%	62.78%	3.0s
13	7456258.426435711	2.47%	27.14%	61.26%	3.0s
14	7249984.227825749	2.77%	26.46%	60.23%	3.0s
15	7168577.205828613	1.12%	26.23%	59.31%	3.1s
16	7051411.745146861	1.63%	26.06%	58.53%	3.1s
17	6951113.389030185	1.42%	25.84%	58.35%	3.1s
18	6862404.1320006205	1.28%	25.60%	57.81%	3.1s
19	6790398.463719396	1.05%	25.42%	57.22%	3.1s
20	6698079.57302957	1.36%	25.24%	57.16%	3.1s
21	6649916.7527427925	0.72%	25.10%	56.61%	3.1s
22	6599495.665324743	0.76%	24.93%	56.35%	3.1s
23	6571097.113655597	0.43%	24.80%	56.03%	3.2s
24	6532830.565061438	0.58%	24.73%	55.79%	3.2s
25	6493056.284115679	0.61%	24.60%	55.54%	3.2s
26	6460849.858257231	0.50%	24.52%	55.08%	3.2s
27	6433351.159240821	0.43%	24.39%	55.05%	3.2s
28	6405062.543310052	0.44%	24.33%	54.79%	3.3s
29	6364853.496783744	0.63%	24.20%	54.75%	3.3s
30	6329191.508857782	0.56%	24.09%	54.42%	3.3s
31	6303034.000135689	0.41%	24.01%	54.39%	3.3s
32	6267890.1408514865	0.56%	23.91%	54.02%	3.3s
33	6209430.658517141	0.93%	23.79%	54.04%	3.3s
34	6175938.932639348	0.54%	23.74%	53.89%	3.2s
35	6147548.128781529	0.46%	23.65%	53.63%	3.3s
36	6115263.932116199	0.53%	23.58%	53.40%	3.3s
37	6094754.295421007	0.34%	23.49%	53.71%	3.2s
38	6076387.560284594	0.30%	23.44%	53.48%	3.3s
39	6053725.806611041	0.37%	23.36%	53.62%	3.3s
40	6031771.60279867	0.36%	23.29%	53.54%	3.3s
41	6002869.1860868735	0.48%	23.21%	53.65%	3.3s
42	5981140.797815988	0.36%	23.18%	53.55%	3.3s
43	5957872.883392205	0.39%	23.09%	53.51%	3.3s
44	5940244.804136899	0.30%	23.05%	53.56%	3.4s
45	5921768.238985586	0.31%	22.98%	53.68%	3.2s
46	5902752.955482323	0.32%	22.95%	53.71%	3.5s
47	5879871.714705716	0.39%	22.89%	53.74%	3.4s
48	5865309.299845221	0.25%	22.80%	53.64%	3.4s
49	5847294.605588719	0.31%	22.74%	53.66%	3.4s
50	5828652.499120661	0.32%	22.73%	53.60%	3.4s
