,CountyIndex,CountyName,CountyArea,VertexIndex,Longitude,Latitude
25306,41,Douglas,1865384049.0,0,-95.14583826,46.10676677
25307,41,Douglas,1865384049.0,1,-95.14608954,46.09223533
25308,41,Douglas,1865384049.0,2,-95.14605894,46.07777215
25309,41,Douglas,1865384049.0,3,-95.14614059,46.06319883
25310,41,Douglas,1865384049.0,4,-95.14616229,46.04874361
25311,41,Douglas,1865384049.0,5,-95.14636663,46.03432993
25312,41,Douglas,1865384049.0,6,-95.14660556,46.01980756
25313,41,Douglas,1865384049.0,7,-95.14666277,46.00526157
25314,41,Douglas,1865384049.0,8,-95.14641514,45.99084726
25315,41,Douglas,1865384049.0,9,-95.14658327,45.97649712
25316,41,Douglas,1865384049.0,10,-95.14658279,45.96179008
25317,41,Douglas,1865384049.0,11,-95.14637264,45.94732996
25318,41,Douglas,1865384049.0,12,-95.14626584,45.93287772
25319,41,Douglas,1865384049.0,13,-95.13887509999999,45.932880499999996
25320,41,Douglas,1865384049.0,14,-95.13882613,45.91852531
25321,41,Douglas,1865384049.0,15,-95.13920368,45.90352304
25322,41,Douglas,1865384049.0,16,-95.13965862,45.88919434
25323,41,Douglas,1865384049.0,17,-95.14040546,45.87475213
25324,41,Douglas,1865384049.0,18,-95.14028186,45.8604612
25325,41,Douglas,1865384049.0,19,-95.14024061,45.84596169
25326,41,Douglas,1865384049.0,20,-95.14021135,45.83143492
25327,41,Douglas,1865384049.0,21,-95.14020658,45.81687165
25328,41,Douglas,1865384049.0,22,-95.13996209999999,45.80242985
25329,41,Douglas,1865384049.0,23,-95.13983049,45.7879049
25330,41,Douglas,1865384049.0,24,-95.13975291,45.77344191
25331,41,Douglas,1865384049.0,25,-95.13964946,45.75897037
25332,41,Douglas,1865384049.0,26,-95.16037440000001,45.75886813
25333,41,Douglas,1865384049.0,27,-95.18110579,45.75893302
25334,41,Douglas,1865384049.0,28,-95.20166226,45.7587995
25335,41,Douglas,1865384049.0,29,-95.22225027,45.75881467
25336,41,Douglas,1865384049.0,30,-95.24301875,45.75884059
25337,41,Douglas,1865384049.0,31,-95.26300152,45.75883324
25338,41,Douglas,1865384049.0,32,-95.28371983,45.75888865
25339,41,Douglas,1865384049.0,33,-95.30438405,45.75887838
25340,41,Douglas,1865384049.0,34,-95.32526616,45.75885093
25341,41,Douglas,1865384049.0,35,-95.34604719,45.75886674
25342,41,Douglas,1865384049.0,36,-95.36685759,45.75896817
25343,41,Douglas,1865384049.0,37,-95.38779178,45.7589552
25344,41,Douglas,1865384049.0,38,-95.40786178,45.75947868
25345,41,Douglas,1865384049.0,39,-95.42845911,45.75969937
25346,41,Douglas,1865384049.0,40,-95.4489994,45.75949453
25347,41,Douglas,1865384049.0,41,-95.46982401,45.75932483
25348,41,Douglas,1865384049.0,42,-95.49029947,45.75911395
25349,41,Douglas,1865384049.0,43,-95.51003185,45.75896983
25350,41,Douglas,1865384049.0,44,-95.53068775,45.75906294
25351,41,Douglas,1865384049.0,45,-95.55135558,45.75913405
25352,41,Douglas,1865384049.0,46,-95.57224292,45.75922346
25353,41,Douglas,1865384049.0,47,-95.59293539,45.75926847
25354,41,Douglas,1865384049.0,48,-95.61376038,45.75939671
25355,41,Douglas,1865384049.0,49,-95.63418625,45.75951235
25356,41,Douglas,1865384049.0,50,-95.65499696,45.75960637
25357,41,Douglas,1865384049.0,51,-95.67562731,45.75969183
25358,41,Douglas,1865384049.0,52,-95.69638557,45.75976153
25359,41,Douglas,1865384049.0,53,-95.71720487,45.75976299
25360,41,Douglas,1865384049.0,54,-95.73791324,45.75986233
25361,41,Douglas,1865384049.0,55,-95.7585152,45.75988852
25362,41,Douglas,1865384049.0,56,-95.75851055,45.77439838
25363,41,Douglas,1865384049.0,57,-95.75844359,45.78894572
25364,41,Douglas,1865384049.0,58,-95.75840115,45.80346543
25365,41,Douglas,1865384049.0,59,-95.75848566,45.81794604
25366,41,Douglas,1865384049.0,60,-95.7585052,45.8324102
25367,41,Douglas,1865384049.0,61,-95.75855332,45.84692764
25368,41,Douglas,1865384049.0,62,-95.75857413,45.86140971
25369,41,Douglas,1865384049.0,63,-95.75858226,45.87589205
25370,41,Douglas,1865384049.0,64,-95.75868513,45.89046209
25371,41,Douglas,1865384049.0,65,-95.75867675,45.90486376
25372,41,Douglas,1865384049.0,66,-95.7586566,45.91954473
25373,41,Douglas,1865384049.0,67,-95.75872627,45.93369244
25374,41,Douglas,1865384049.0,68,-95.76079584,45.93369249
25375,41,Douglas,1865384049.0,69,-95.76954939,45.9337005
25376,41,Douglas,1865384049.0,70,-95.76945503,45.94812218
25377,41,Douglas,1865384049.0,71,-95.76954619,45.96263834
25378,41,Douglas,1865384049.0,72,-95.76958556,45.97714673
25379,41,Douglas,1865384049.0,73,-95.76965932,45.99156424
25380,41,Douglas,1865384049.0,74,-95.76962489,46.00613735
25381,41,Douglas,1865384049.0,75,-95.76963692,46.02060125
25382,41,Douglas,1865384049.0,76,-95.76971637,46.03511749
25383,41,Douglas,1865384049.0,77,-95.7697399,46.04954506
25384,41,Douglas,1865384049.0,78,-95.76970940000001,46.06418092
25385,41,Douglas,1865384049.0,79,-95.76965893,46.07867323
25386,41,Douglas,1865384049.0,80,-95.76970343,46.09299219
25387,41,Douglas,1865384049.0,81,-95.76975849,46.10751789
25388,41,Douglas,1865384049.0,82,-95.74948416,46.10757571
25389,41,Douglas,1865384049.0,83,-95.72865973,46.10749906
25390,41,Douglas,1865384049.0,84,-95.70783871,46.10749053
25391,41,Douglas,1865384049.0,85,-95.68701927,46.10751416
25392,41,Douglas,1865384049.0,86,-95.66625821,46.10740662
25393,41,Douglas,1865384049.0,87,-95.64533332,46.10738911
25394,41,Douglas,1865384049.0,88,-95.62535261,46.10763408
25395,41,Douglas,1865384049.0,89,-95.60439279,46.10769986
25396,41,Douglas,1865384049.0,90,-95.58364503,46.10787401
25397,41,Douglas,1865384049.0,91,-95.562608,46.10795186
25398,41,Douglas,1865384049.0,92,-95.54147737,46.10796491
25399,41,Douglas,1865384049.0,93,-95.52067467,46.10807482
25400,41,Douglas,1865384049.0,94,-95.50083842,46.10809678
25401,41,Douglas,1865384049.0,95,-95.48011511,46.10825164
25402,41,Douglas,1865384049.0,96,-95.45919652,46.10809191
25403,41,Douglas,1865384049.0,97,-95.43832184,46.10804442
25404,41,Douglas,1865384049.0,98,-95.41746194,46.1080378
25405,41,Douglas,1865384049.0,99,-95.39661326,46.10799114
25406,41,Douglas,1865384049.0,100,-95.37608343,46.10783502
25407,41,Douglas,1865384049.0,101,-95.35507405,46.1076581
25408,41,Douglas,1865384049.0,102,-95.33407643,46.10775609
25409,41,Douglas,1865384049.0,103,-95.31319696,46.10758679999999
25410,41,Douglas,1865384049.0,104,-95.29247561,46.10748253
25411,41,Douglas,1865384049.0,105,-95.27161640000001,46.10748524
25412,41,Douglas,1865384049.0,106,-95.25093184,46.10732769
25413,41,Douglas,1865384049.0,107,-95.22997404,46.10712666
25414,41,Douglas,1865384049.0,108,-95.2089588,46.10710289
25415,41,Douglas,1865384049.0,109,-95.18798222,46.10707451
25416,41,Douglas,1865384049.0,110,-95.16678324,46.106983500000005
25417,41,Douglas,1865384049.0,111,-95.14583826,46.10676677
