MN_12 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: false
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
1	7.759674730513605E7	85.98%	84.87%	72.12%	1.5s
2	4.684476655951154E7	39.63%	68.02%	58.30%	3.2s
3	2.0466890770069897E7	56.31%	47.92%	52.03%	3.0s
4	1.3051870962198475E7	36.23%	38.64%	50.32%	3.0s
5	1.084193576054724E7	16.93%	34.52%	50.31%	3.0s
6	9467456.364947436	12.68%	31.74%	51.98%	3.0s
7	8771944.427037222	7.35%	30.18%	54.58%	3.1s
8	8435524.389253078	3.84%	29.27%	54.84%	3.1s
9	8274463.3394504385	1.91%	28.76%	55.07%	3.1s
10	8077837.073565396	2.38%	28.08%	56.55%	3.2s
11	7936190.360436431	1.75%	27.78%	56.91%	3.1s
12	7802951.022873578	1.68%	27.45%	57.69%	3.2s
13	7729616.7881206935	0.94%	27.29%	58.19%	3.3s
14	7660885.789520216	0.89%	27.05%	59.12%	3.3s
15	7585104.733036264	0.99%	26.88%	59.25%	3.4s
16	7514662.099665768	0.93%	26.66%	60.27%	3.5s
17	7458421.013374805	0.75%	26.58%	60.53%	3.4s
18	7407205.05482782	0.69%	26.44%	60.65%	3.4s
19	7363723.960043541	0.59%	26.25%	61.04%	3.6s
20	7285292.642597545	1.07%	26.10%	60.93%	3.5s
21	7255690.967581275	0.41%	26.00%	61.10%	3.7s
22	7219078.308244002	0.50%	25.88%	61.36%	3.9s
23	7188430.757102597	0.42%	25.78%	61.32%	3.5s
24	7156158.941161366	0.45%	25.67%	61.83%	3.6s
25	7128654.948834054	0.38%	25.59%	61.70%	3.6s
26	7107661.79668544	0.29%	25.51%	61.78%	3.6s
27	7082077.857611983	0.36%	25.43%	61.92%	3.6s
28	7045656.078702725	0.51%	25.34%	62.08%	3.6s
29	7018358.127245497	0.39%	25.25%	62.31%	3.6s
30	6984735.830586974	0.48%	25.18%	62.68%	3.6s
31	6964497.338744078	0.29%	25.09%	62.84%	3.7s
32	6920443.179360095	0.63%	25.03%	63.15%	3.7s
33	6897292.969818286	0.33%	24.83%	63.26%	3.6s
34	6858955.849173786	0.56%	24.79%	63.47%	3.7s
35	6841156.313197488	0.26%	24.74%	63.38%	3.7s
36	6828351.667396187	0.19%	24.69%	63.45%	3.6s
37	6812463.394175284	0.23%	24.65%	63.44%	3.7s
38	6790899.277032777	0.32%	24.57%	63.73%	3.8s
39	6772973.764480449	0.26%	24.53%	63.63%	3.7s
40	6759911.932596734	0.19%	24.47%	63.56%	3.7s
41	6744647.32835541	0.23%	24.38%	63.66%	3.7s
42	6724284.041516498	0.30%	24.34%	64.04%	3.8s
43	6711318.587129177	0.19%	24.28%	64.13%	3.7s
44	6698802.840991941	0.19%	24.24%	64.22%	3.8s
45	6688770.22008089	0.15%	24.19%	64.27%	3.7s
46	6676775.5304972865	0.18%	24.17%	64.60%	3.7s
47	6664410.802564941	0.19%	24.12%	64.69%	3.8s
48	6656444.366828215	0.12%	24.07%	64.62%	3.8s
49	6647508.179545955	0.13%	24.02%	64.62%	3.8s
50	6629535.004398841	0.27%	23.98%	65.19%	3.9s
51	6621690.403033691	0.12%	23.93%	65.10%	3.8s
52	6613454.520730349	0.12%	23.91%	65.15%	3.8s
53	6606583.303022873	0.10%	23.88%	65.21%	3.8s
54	6601336.633686497	0.08%	23.85%	65.22%	3.8s
55	6593571.685133039	0.12%	23.82%	65.18%	3.9s
56	6578181.030022536	0.23%	23.78%	65.51%	3.9s
57	6568452.807120101	0.15%	23.72%	65.56%	3.8s
58	6561511.847921913	0.11%	23.70%	65.56%	3.8s
59	6552522.144018409	0.14%	23.68%	65.66%	3.9s
60	6545957.926971108	0.10%	23.64%	65.71%	3.9s
61	6536524.915356463	0.14%	23.59%	65.62%	3.8s
62	6526598.383107257	0.15%	23.56%	65.81%	3.8s
63	6520872.883121094	0.09%	23.50%	65.71%	3.8s
