	standard - no travel
27001	0.925442322
27003	3.764280676
27005	1.575237259
27007	0.475927544
27009	5.858926979
27011	3.937514163
27013	3.274277156
27015	0.196702527
27017	0.152390761
27019	3.662017341
27021	0.086249567
27023	7.040060759
27025	2.653508511
27027	0.998972087
27029	0.528693729
27031	0.360288232
27033	14.88715505
27035	1.517201365
27037	4.844070272
27039	3.355288151
27041	2.550688763
27043	2.492756634
27045	1.370246347
27047	11.37190984
27049	1.935419348
27051	0.756184854
27053	8.04298484
27055	0.64970134
27057	0.433690566
27059	3.323504816
27061	1.503881284
27063	3.412147114
27065	2.643813308
27067	21.63748468
27069	0.002484686
27071	0.244522766
27073	0.115438619
27075	0.399564274
27077	0.004598018
27079	0.904353001
27081	2.50500325
27083	36.40435257
27085	4.448109255
27087	0.536961365
27089	1.692061091
27091	2.26314618
27093	10.50930551
27095	4.455976669
27097	5.665000239
27099	12.67149873
27101	4.675588082
27103	2.647750188
27105	103.6815792
27107	1.141192987
27109	4.428282959
27111	2.203287358
27113	6.397992569
27115	0.59773354
27117	0.633738898
27119	2.519889519
27121	6.843265779
27123	9.135444795
27125	7.171236177
27127	0.82395581
27129	0.926035161
27131	11.81612782
27133	0.991266322
27135	0.457994155
27137	0.219691099
27139	6.667992469
27141	3.362977905
27143	0.913258637
27145	21.83773195
27147	3.452903823
27149	0.116565143
27151	1.908329177
27153	33.47111635
27155	0.075371558
27157	0.612486148
27159	0.737462859
27161	1.386142077
27163	2.083094965
27165	12.16775917
27167	2.740949023
27169	0.122707838
27171	9.200406881
27173	1.290158552
	
