time	reported I	 reported*lambda	predicted
03/22/2020	57.0	110.26013357066478	110.26013357066478
03/23/2020	89.0	172.16055943489764	115.89977891163072
03/24/2020	103.0	120.61529874506066	117.39140235215896
03/25/2020	98.9	115.8141072416165	115.84982193075173
03/26/2020	128.0	149.8908566928909	112.14899542217258
03/27/2020	90.714	106.22811854717895	106.96917903154453
03/28/2020	60.755	71.14546092481709	109.80482441823402
03/29/2020	70.153	82.15072866856545	116.04996462512534
03/30/2020	185.0	216.6391288139439	124.77759187972588
03/31/2020	199.0	199.0	137.44210123853742
04/01/2020	213.0	213.0	152.8119245853539
04/02/2020	229.0	229.0	169.69366269589634
04/03/2020	236.0	236.0	187.2639053078804
04/04/2020	84.099	84.099	204.35493813223377
04/05/2020	89.464	89.464	221.48006478453118
04/06/2020	95.231	95.231	238.49289756245747
04/07/2020	102.37	163.96889084384213	256.30665135987573
04/08/2020	114.86	183.97447301283293	274.8033797345586
04/09/2020	134.58	215.56054830286487	293.76099082146027
04/10/2020	158.53	253.92193284628596	312.9168649668493
04/11/2020	193.53	309.98241130222493	332.0448130252064
04/12/2020	272.62	436.6630753330882	350.4311370343322
04/13/2020	278.74	446.46565042309817	369.1487770562604
04/14/2020	255.13	255.13	388.2783106158796
04/15/2020	343.04	343.04	407.7551464092943
04/16/2020	334.6	334.6	427.4385895478009
04/17/2020	470.23	470.23	446.2408792182543
04/18/2020	521.14	521.14	464.8519023175744
04/19/2020	549.79	549.79	483.34077024879593
04/20/2020	578.22	578.22	502.6972566475121
04/21/2020	586.62	586.62	522.9741797740832
04/22/2020	606.24	606.24	544.1050592321374
04/23/2020	573.37	573.37	565.9575409484299
04/24/2020	588.76	588.76	587.3135217369579
04/25/2020	646.0	646.0	608.9806923945288
04/26/2020	650.11	650.11	631.0613699381438
04/27/2020	667.43	667.43	654.8670497252616
04/28/2020	750.61	750.61	681.011220744692
04/29/2020	752.72	752.72	709.4197408535053
04/30/2020	788.52	788.52	739.8559574590274
05/01/2020	835.25	835.25	770.3499881692654
05/02/2020	929.45	929.45	802.0043172059657
05/03/2020	847.96	847.96	834.8112993192865
05/04/2020	520.17	520.17	870.6534425205361
05/05/2020	614.1	783.8778089554718	909.606184990479
05/06/2020	732.8	935.394330569239	951.5184922822614
05/07/2020	824.71	1052.7143263697558	996.0913373248164
05/08/2020	876.97	1119.4224427938123	1040.5061908493976
05/09/2020	863.35	1102.036975023134	1086.5450362124184
05/10/2020	867.85	1107.781072304195	1134.35048019369
05/11/2020	900.2	1149.074749424712	1186.970109832123
05/12/2020	1041.6	1162.7324534361824	1244.720624134788
05/13/2020	1149.9	1283.6271584161543	1307.5498732020733
05/14/2020	1198.0	1337.3209285873145	1375.1399622599142
05/15/2020	1369.1	1528.3189343312954	1443.0017842379575
05/16/2020	1426.8	1592.7291326447246	1514.1301318384362
05/17/2020	1422.2	1587.5941774932207	1588.830258570385
05/18/2020	1469.6	1640.5065414456737	1672.3730846912144
05/19/2020	1516.3	1546.6127285275395	1724.226453317498
05/20/2020	1519.7	1550.0806987689123	1753.959225821607
05/21/2020	1610.1	1642.2879075395313	1767.886457107433
05/22/2020	1817.7	1854.038090512767	1767.4720398049249
05/23/2020	1836.9	1873.621922464049	1757.8075971915641
05/24/2020	1816.8	1853.1200983900505	1741.2836153463284
05/25/2020	1825.1	1861.5860257439901	1722.105119536068
05/26/2020	1860.1	1860.1	1701.3355347586967
05/27/2020	1611.2	1611.2	1679.3234389769923
05/28/2020	1618.4	1618.4	1656.0113363626183
05/29/2020	1755.2	1755.2	1628.9078502616144
05/30/2020	1663.0	1663.0	1599.8722231090624
05/31/2020	1564.5	1564.5	1569.2339673543124
06/01/2020	1463.2	1463.2	1539.2318695037482
06/02/2020	1199.9	1646.5813976487034	1509.94629260627
06/03/2020	1024.5	1405.8860254113647	1481.1458049123457
06/04/2020	1020.0	1399.710830570612	1452.456620949783
06/05/2020	1083.1	1486.3007848931663	1421.7773015242005
06/06/2020	1096.8	1505.100822519458	1390.3728513849496
06/07/2020	920.94	1263.7742081428426	1358.3969133075168
06/08/2020	836.95	1148.5176271039938	1327.481877915816
06/09/2020	725.37	1298.47103801521	1297.6491786371125
06/10/2020	639.98	1145.616023421115	1268.6968019455248
06/11/2020	674.02	1206.5503798654645	1237.331780185566
06/12/2020	742.5	1329.1351251448136	1203.1023304266687
06/13/2020	673.53	1205.6732401869176	1167.538658259515
06/14/2020	659.3	1180.2003878895296	1131.2381794229702
06/15/2020	547.61	980.2662436101704	1095.6648909337964
06/16/2020	458.52	974.88270767173	1061.0846196142393
06/17/2020	413.0	878.1003190011876	1027.5296721432314
06/18/2020	470.63	1000.6303949915954	994.9009779388126
06/19/2020	525.34	1116.9521103730845	962.1181194280938
06/20/2020	457.75	973.2455714837618	929.8861597705741
06/21/2020	439.97	935.442608597948	898.2874701244081
06/22/2020	405.58	862.3242793716747	868.2253913076536
