MN_model2 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 true
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
1	5.474242665161458E7	90.21%	89.19%	89.43%	71.5s
2	2.922467551131256E7	46.61%	70.87%	102.56%	95.3s
3	2.07861280869142E7	28.87%	58.38%	104.77%	99.7s
4	1.6101950167433303E7	22.54%	52.09%	105.69%	107.4s
5	1.416505866649238E7	12.03%	48.46%	107.02%	103.8s
6	1.2460605353911074E7	12.03%	44.80%	102.83%	83.1s
7	1.1397372191937359E7	8.53%	42.06%	100.50%	80.7s
8	1.0759451578504575E7	5.60%	40.28%	98.87%	76.0s
9	1.0171704444676105E7	5.46%	38.87%	98.30%	75.4s
10	9690594.872295348	4.73%	37.63%	97.85%	76.0s
11	9433967.983302409	2.65%	36.68%	97.07%	77.8s
12	9182132.528430354	2.67%	36.58%	94.97%	75.3s
13	8783480.412146825	4.34%	35.59%	94.79%	74.8s
14	8473472.5814241	3.53%	34.78%	94.54%	72.7s
15	8325073.722975961	1.75%	34.53%	94.48%	76.4s
16	8189508.341576302	1.63%	34.25%	92.96%	76.0s
17	7994394.290564602	2.38%	33.56%	92.55%	73.9s
18	7568198.439539676	5.33%	32.72%	92.25%	73.0s
19	7461686.335975129	1.41%	32.25%	91.10%	71.0s
20	7347375.773075569	1.53%	31.92%	90.10%	75.5s
21	7252417.121035676	1.29%	31.59%	88.91%	73.5s
22	7145388.554055854	1.48%	31.32%	87.91%	74.7s
23	7066394.223778388	1.11%	31.08%	87.39%	76.1s
24	6979800.465428492	1.23%	30.76%	86.31%	75.9s
25	6899493.323815798	1.15%	30.55%	86.38%	76.2s
26	6848919.710323773	0.73%	30.45%	85.92%	77.3s
27	6799770.055939199	0.72%	30.30%	84.96%	77.2s
28	6745018.2216357235	0.81%	30.17%	84.32%	76.1s
29	6696730.174685919	0.72%	30.01%	84.31%	75.4s
30	6635363.770738488	0.92%	29.85%	83.44%	76.9s
31	6570755.573993012	0.97%	29.65%	82.33%	76.0s
32	6530675.687979273	0.61%	29.59%	81.66%	76.5s
33	6495901.84403558	0.53%	29.29%	81.43%	75.0s
34	6452326.379728396	0.67%	29.26%	80.71%	76.0s
35	6414741.336459602	0.58%	29.05%	80.01%	76.8s
36	6370544.381839564	0.69%	28.88%	78.74%	75.7s
37	6319153.066092605	0.81%	28.60%	78.28%	77.0s
38	6282104.420053106	0.59%	28.42%	77.63%	76.1s
