time	reported I	 reported*lambda	predicted
03/22/2020	17.0	34.23166134230803	34.23166134230803
03/23/2020	23.0	46.31342416900498	37.894169812767785
03/24/2020	25.0	46.44093870946487	39.71250269230693
03/25/2020	0.0	0.0	40.16288081372544
03/26/2020	30.0	55.72912645135784	39.61746418330591
03/27/2020	0.0	0.0	38.36737099152167
03/28/2020	0.0	0.0	39.012366061474026
03/29/2020	0.0	0.0	40.48946920774304
03/30/2020	48.0	89.16660232217255	42.5748106848611
03/31/2020	54.0	57.72028270060333	45.59821927710911
04/01/2020	64.0	68.40922394145579	49.25867598067403
04/02/2020	65.0	69.47811806554104	53.263768844461126
04/03/2020	69.0	73.75369456188203	57.409662839711544
04/04/2020	34.15	36.50273433751118	61.420791499043645
04/05/2020	46.962	50.197405855291365	65.40394747355744
04/06/2020	51.462	55.00742941367497	69.32098638226381
04/07/2020	50.093	70.49674884350001	73.36311777770744
04/08/2020	58.086	81.7454365544795	77.49853980866459
04/09/2020	56.476	79.47965559430472	81.67511800324506
04/10/2020	57.27	80.59706558335986	85.8349801346968
04/11/2020	62.719	88.26553791378988	89.93065581064133
04/12/2020	77.269	108.74200559735696	93.95130091363424
04/13/2020	72.049	101.39580894387105	97.54631511691693
04/14/2020	71.054	101.80856702894764	101.21981895241758
04/15/2020	80.143	114.83159269570962	104.97325019312254
04/16/2020	72.233	103.49787798297035	108.82069407647981
04/17/2020	75.352	107.96688635073694	112.73344904638152
04/18/2020	85.335	122.27086536177057	116.68384194512895
04/19/2020	89.516	128.2615431385042	120.67243679580493
04/20/2020	88.863	127.32590272037287	124.6412193373941
04/21/2020	97.074	128.67083783116766	128.705106606791
04/22/2020	102.3	135.5978604994999	132.89597447039736
04/23/2020	97.07	128.66553586203764	137.27510655874585
04/24/2020	99.856	132.35835736107586	141.7950374555717
04/25/2020	108.38	143.656853577085	146.4340306350012
04/26/2020	119.56	158.47585729540768	151.22416337299256
04/27/2020	133.78	177.3243575525229	156.16344175942547
04/28/2020	148.79	158.43381204976316	165.66288098490705
04/29/2020	159.75	170.10418358054753	178.44503377995582
04/30/2020	189.03	201.28196445840936	194.09600681805648
05/01/2020	216.75	230.7986340599917	212.3550042478598
05/02/2020	258.01	274.73289768774373	232.3821321085963
05/03/2020	241.23	256.8653033185319	254.26738884088837
05/04/2020	196.11	208.82085409690876	277.92425966392364
05/05/2020	213.45	248.93285459075642	303.7550653552643
05/06/2020	266.81	311.1631526510177	331.62007698453397
05/07/2020	313.92	366.10448214162693	361.9019482595694
05/08/2020	358.52	418.1185618546638	394.59062702388235
05/09/2020	382.8	446.43474695404814	429.8325951993399
05/10/2020	396.35	462.23723081305377	467.6146731498544
05/11/2020	441.75	515.1842985030062	508.19315147306025
05/12/2020	447.95	551.6853463894665	552.4580036182248
05/13/2020	491.71	605.5791978416444	600.599998140608
05/14/2020	495.1	609.7542471200467	652.6410542136256
05/15/2020	571.44	703.7729084513825	709.0445309865369
05/16/2020	639.1	787.1014731052753	770.2123105941928
05/17/2020	701.3	863.7056221072282	836.0426198066652
05/18/2020	728.87	897.6602264156502	906.8180497047334
05/19/2020	760.59	842.5121015937854	954.5455770324763
05/20/2020	793.38	878.8338673430854	985.9500835737751
05/21/2020	824.71	913.5383785027553	1005.940193345075
05/22/2020	887.03	982.5707798902632	1017.8013933726306
05/23/2020	940.71	1042.0325787747536	1023.8209438590111
05/24/2020	1027.7	1138.3921518925217	1025.359306879702
05/25/2020	1049.2	1162.2078872877628	1023.4229269886305
05/26/2020	1102.5	1102.5	1019.1735869427439
05/27/2020	1030.1	1030.1	1013.5116916444252
05/28/2020	1009.6	1009.6	1006.8316721172836
05/29/2020	1018.7	1018.7	999.2244287763372
05/30/2020	964.87	964.87	990.8365246837211
05/31/2020	1002.8	1002.8	981.8157436147718
06/01/2020	912.3	912.3	972.3070968928129
06/02/2020	835.28	1041.4917023466066	962.473030689477
06/03/2020	804.85	1003.5492249708678	952.3597013146532
06/04/2020	766.73	956.0182608708623	942.0626079364664
06/05/2020	738.39	920.681757130197	931.6100909844383
06/06/2020	746.13	930.3325877213314	921.0550681155821
06/07/2020	679.29	846.9913064924654	910.3397068912867
06/08/2020	638.91	796.6423996100356	899.3988719480997
06/09/2020	602.5	886.4682398256983	888.4352056379543
06/10/2020	579.13	852.0835713365257	877.3936103954499
06/11/2020	617.02	907.8317565763525	862.4785891477752
06/12/2020	581.45	855.4970258035723	844.9790387414068
06/13/2020	563.79	829.5135749897601	825.7854996761059
06/14/2020	536.19	788.9052373645497	805.5189319147137
06/15/2020	512.49	754.0350344037712	784.6492332543339
06/16/2020	488.7	743.143207914426	763.5777934269638
06/17/2020	464.18	705.856791998605	742.5587852077765
06/18/2020	457.76	696.0941985981331	721.7664788765518
06/19/2020	477.35	725.8837943481711	701.2554439288067
06/20/2020	473.29	719.7099424469382	681.2089139274647
06/21/2020	441.18	670.8817689128023	661.6233364361127
06/22/2020	425.46	646.9771009602448	642.5632419799864
