	extra travel - standard
27001	0.793913216
27003	3.377805531
27005	1.151556467
27007	0.407434484
27009	4.800909267
27011	-0.283813219
27013	2.852753084
27015	0.047674328
27017	0.069138799
27019	1.710862477
27021	0.045853982
27023	2.919043102
27025	0.677372843
27027	0.582229717
27029	0.338948981
27031	0.043950819
27033	8.363050975
27035	1.233410645
27037	4.157531985
27039	1.164534197
27041	0.967843672
27043	1.158151867
27045	0.732496712
27047	5.314705483
27049	0.469965133
27051	0.1531014
27053	9.735509295
27055	0.493865444
27057	0.109973261
27059	1.656661261
27061	0.831611486
27063	2.750062262
27065	1.050596474
27067	16.14511793
27069	0.001052255
27071	0.425615766
27073	0.008095422
27075	0.225625108
27077	0.004455602
27079	0.3505124
27081	0.439112445
27083	29.18964374
27085	0.111926397
27087	0.208340255
27089	0.50461901
27091	1.156357007
27093	1.083261615
27095	3.955796702
27097	2.738455838
27099	9.12121482
27101	2.072895241
27103	2.19305395
27105	54.14516017
27107	0.435356194
27109	2.03895496
27111	1.095318513
27113	5.696273086
27115	0.423610484
27117	0.259859589
27119	3.224399476
27121	-0.609779032
27123	9.681118766
27125	8.432276003
27127	0.677724367
27129	0.07175305
27131	6.131496052
27133	1.00315683
27135	0.287907257
27137	0.176415814
27139	4.574329395
27141	2.128276665
27143	0.063441972
27145	13.88838837
27147	1.735829608
27149	0.025537203
27151	1.153492672
27153	15.4164888
27155	-0.006159146
27157	0.150840574
27159	0.492538776
27161	1.020128924
27163	2.296111227
27165	3.414571156
27167	0.150190305
27169	0.05921468
27171	5.140227582
27173	0.482150416
