MN_model2 run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 true
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
1	5.474242665161458E7	90.21%	89.19%	89.43%	71.5s
2	2.922467551131256E7	46.61%	70.87%	102.56%	95.3s
3	2.07861280869142E7	28.87%	58.38%	104.77%	99.7s
4	1.6101950167433303E7	22.54%	52.09%	105.69%	107.4s
5	1.416505866649238E7	12.03%	48.46%	107.02%	103.8s
6	1.2460605353911074E7	12.03%	44.80%	102.83%	83.1s
7	1.1397372191937359E7	8.53%	42.06%	100.50%	80.7s
8	1.0759451578504575E7	5.60%	40.28%	98.87%	76.0s
9	1.0171704444676105E7	5.46%	38.87%	98.30%	75.4s
10	9690594.872295348	4.73%	37.63%	97.85%	76.0s
11	9433967.983302409	2.65%	36.68%	97.07%	77.8s
12	9182132.528430354	2.67%	36.58%	94.97%	75.3s
13	8783480.412146825	4.34%	35.59%	94.79%	74.8s
14	8473472.5814241	3.53%	34.78%	94.54%	72.7s
15	8325073.722975961	1.75%	34.53%	94.48%	76.4s
16	8189508.341576302	1.63%	34.25%	92.96%	76.0s
17	7994394.290564602	2.38%	33.56%	92.55%	73.9s
18	7568198.439539676	5.33%	32.72%	92.25%	73.0s
19	7461686.335975129	1.41%	32.25%	91.10%	71.0s
20	7347375.773075569	1.53%	31.92%	90.10%	75.5s
21	7252417.121035676	1.29%	31.59%	88.91%	73.5s
22	7145388.554055854	1.48%	31.32%	87.91%	74.7s
23	7066394.223778388	1.11%	31.08%	87.39%	76.1s
24	6979800.465428492	1.23%	30.76%	86.31%	75.9s
25	6899493.323815798	1.15%	30.55%	86.38%	76.2s
26	6848919.710323773	0.73%	30.45%	85.92%	77.3s
27	6799770.055939199	0.72%	30.30%	84.96%	77.2s
28	6745018.2216357235	0.81%	30.17%	84.32%	76.1s
29	6696730.174685919	0.72%	30.01%	84.31%	75.4s
30	6635363.770738488	0.92%	29.85%	83.44%	76.9s
31	6570755.573993012	0.97%	29.65%	82.33%	76.0s
32	6530675.687979273	0.61%	29.59%	81.66%	76.5s
33	6495901.84403558	0.53%	29.29%	81.43%	75.0s
34	6452326.379728396	0.67%	29.26%	80.71%	76.0s
35	6414741.336459602	0.58%	29.05%	80.01%	76.8s
36	6370544.381839564	0.69%	28.88%	78.74%	75.7s
37	6319153.066092605	0.81%	28.60%	78.28%	77.0s
38	6282104.420053106	0.59%	28.42%	77.63%	76.1s
39	6224319.045517366	0.92%	28.29%	77.79%	77.6s
40	6196283.070961511	0.45%	28.13%	77.14%	75.2s
41	6171988.577036943	0.39%	28.01%	77.31%	74.7s
42	6143314.799304893	0.46%	27.94%	76.82%	75.3s
43	6116485.916130092	0.44%	27.80%	76.32%	75.8s
44	6090798.38440263	0.42%	27.75%	76.05%	77.2s
45	6066466.40920554	0.40%	27.74%	75.70%	76.3s
46	6042660.926882021	0.39%	27.59%	75.18%	76.9s
47	6020686.250522051	0.36%	27.50%	74.95%	76.8s
48	5998411.112704932	0.37%	27.30%	74.48%	77.5s
49	5978827.462225191	0.33%	27.25%	74.23%	76.1s
50	5950437.888069418	0.47%	27.14%	74.30%	75.3s
51	5929982.455572748	0.34%	27.11%	74.00%	75.5s
52	5910864.1120863	0.32%	26.99%	73.67%	76.7s
53	5890184.77111062	0.35%	26.88%	73.51%	75.2s
54	5871882.462449934	0.31%	26.79%	73.60%	73.4s
55	5854190.766133645	0.30%	26.75%	73.54%	73.4s
56	5829437.0991763845	0.42%	26.61%	73.30%	72.7s
57	5806392.496809809	0.40%	26.63%	73.25%	75.9s
58	5787063.6073198	0.33%	26.52%	73.69%	75.9s
59	5768635.349088278	0.32%	26.44%	73.48%	73.9s
60	5753517.831981094	0.26%	26.36%	73.30%	78.0s
61	5742550.615641732	0.19%	26.30%	73.26%	78.0s
62	5732147.959233167	0.18%	26.26%	73.01%	79.4s
63	5718955.745837005	0.23%	26.26%	73.04%	77.5s
64	5704318.536022637	0.26%	26.22%	73.37%	77.3s
65	5690497.029327004	0.24%	26.20%	73.02%	76.3s
66	5671137.7689644955	0.34%	26.03%	72.79%	78.3s
67	5655928.87994659	0.27%	25.94%	72.68%	77.8s
68	5643848.7537309285	0.21%	25.90%	72.77%	79.6s
69	5631935.129829495	0.21%	25.87%	72.48%	78.4s
70	5619606.425332379	0.22%	25.82%	72.26%	81.5s
71	5607876.174464843	0.21%	25.78%	72.08%	79.6s
72	5595627.101105842	0.22%	25.69%	71.91%	78.2s
73	5585784.4929244695	0.18%	25.66%	71.81%	79.0s
74	5575646.678369164	0.18%	25.58%	71.81%	79.7s
75	5565910.935720605	0.17%	25.57%	71.66%	79.0s
76	5555570.723825902	0.19%	25.44%	71.49%	78.1s
77	5544409.091980958	0.20%	25.44%	71.23%	78.5s
78	5533473.121945785	0.20%	25.38%	71.42%	78.0s
79	5522916.202696148	0.19%	25.34%	71.10%	76.5s
80	5515451.249057795	0.14%	25.27%	70.96%	76.7s
81	5507973.999612714	0.14%	25.24%	70.82%	77.8s
82	5496884.844792835	0.20%	25.17%	71.03%	78.3s
83	5487757.838015945	0.17%	25.17%	70.83%	79.0s
84	5477862.0428195195	0.18%	25.14%	71.08%	78.6s
85	5469398.262818823	0.15%	25.08%	70.78%	78.1s
86	5460573.537766471	0.16%	25.04%	70.82%	77.4s
87	5453057.876478302	0.14%	25.05%	70.77%	79.8s
88	5446482.45510197	0.12%	25.01%	70.79%	80.1s
89	5440755.872138349	0.11%	24.98%	70.60%	80.9s
90	5434977.936525215	0.11%	24.94%	70.68%	80.7s
91	5429221.7089148015	0.11%	24.95%	70.57%	78.6s
92	5422806.549597807	0.12%	24.94%	70.58%	78.8s
93	5417019.027565418	0.11%	24.88%	70.36%	76.1s
94	5410307.715377214	0.12%	24.83%	70.19%	78.0s
95	5403629.5210477505	0.12%	24.82%	70.03%	77.1s
96	5396957.669187733	0.12%	24.77%	70.17%	76.6s
97	5391390.742277051	0.10%	24.79%	70.03%	78.6s
98	5384302.633024151	0.13%	24.76%	70.08%	78.1s
99	5369643.233637423	0.27%	24.76%	70.11%	78.2s
100	5361618.236271782	0.15%	24.67%	69.80%	79.0s
101	5355861.964472185	0.11%	24.61%	69.74%	78.7s
102	5350753.281652329	0.10%	24.54%	69.63%	76.9s
103	5345850.962723464	0.09%	24.53%	69.48%	76.6s
104	5340563.651409612	0.10%	24.48%	69.28%	78.3s
105	5336280.432212009	0.08%	24.44%	69.14%	75.6s
106	5331111.655859205	0.10%	24.43%	69.12%	76.4s
107	5326123.429934496	0.09%	24.42%	68.81%	76.0s
108	5319707.962956665	0.12%	24.37%	68.90%	78.1s
109	5314834.930093274	0.09%	24.34%	68.71%	73.9s
110	5309693.456329815	0.10%	24.32%	68.76%	76.1s
111	5305413.171334122	0.08%	24.28%	68.69%	73.8s
112	5301037.442156951	0.08%	24.25%	68.63%	75.5s
113	5297523.8237645645	0.07%	24.23%	68.46%	77.3s
114	5291790.532168631	0.11%	24.20%	68.51%	76.3s
115	5287312.317420328	0.08%	24.18%	68.51%	78.1s
116	5283108.62604261	0.08%	24.16%	68.60%	77.6s
117	5279997.174055772	0.06%	24.15%	68.58%	78.4s
118	5276549.672620714	0.07%	24.14%	68.67%	77.5s
119	5273276.945000004	0.06%	24.13%	68.59%	78.7s
120	5269222.035003506	0.08%	24.10%	68.58%	77.4s
121	5265227.270655554	0.08%	24.10%	68.57%	76.0s
122	5261117.083105792	0.08%	24.05%	68.61%	77.5s
123	5257668.975467323	0.07%	24.06%	68.47%	74.9s
124	5253876.315766535	0.07%	24.03%	68.58%	77.0s
125	5249848.037552752	0.08%	24.01%	68.54%	76.4s
126	5246274.808692332	0.07%	23.98%	68.60%	74.9s
127	5243280.229282526	0.06%	24.00%	68.52%	76.3s
128	5239521.579778074	0.07%	23.94%	68.66%	76.9s
129	5235745.372736788	0.07%	23.94%	68.66%	75.3s
130	5231712.420233629	0.08%	23.91%	68.62%	79.0s
131	5227270.039527038	0.08%	23.93%	68.62%	77.0s
132	5224264.734914622	0.06%	23.87%	68.74%	77.4s
