date,weekday,District,vmt.sum,vmt.predict,typical_vmt_diff
3/1/2020,Sunday,MnDOT Statewide,NA,NA,3.2
3/2/2020,Monday,MnDOT Statewide,NA,NA,4.9
3/3/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
3/4/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
3/5/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
3/6/2020,Friday,MnDOT Statewide,NA,NA,2.5
3/7/2020,Saturday,MnDOT Statewide,NA,NA,4.7
3/8/2020,Sunday,MnDOT Statewide,NA,NA,2.6
3/9/2020,Monday,MnDOT Statewide,NA,NA,2.5
3/10/2020,Tuesday,MnDOT Statewide,NA,NA,2.4
3/11/2020,Wednesday,MnDOT Statewide,NA,NA,2.4
3/12/2020,Thursday,MnDOT Statewide,NA,NA,1.7
3/13/2020,Friday,MnDOT Statewide,NA,NA,-2
3/14/2020,Saturday,MnDOT Statewide,NA,NA,-9.6
3/15/2020,Sunday,MnDOT Statewide,NA,NA,-11.9
3/16/2020,Monday,MnDOT Statewide,NA,NA,-6.1
3/17/2020,Tuesday,MnDOT Statewide,NA,NA,-8.6
3/18/2020,Wednesday,MnDOT Statewide,NA,NA,-18.5
3/19/2020,Thursday,MnDOT Statewide,NA,NA,-28.7
3/20/2020,Friday,MnDOT Statewide,NA,NA,-29.1
3/21/2020,Saturday,MnDOT Statewide,NA,NA,-34.9
3/22/2020,Sunday,MnDOT Statewide,NA,NA,-42.4
3/23/2020,Monday,MnDOT Statewide,NA,NA,-23
3/24/2020,Tuesday,MnDOT Statewide,NA,NA,-26.4
3/25/2020,Wednesday,MnDOT Statewide,NA,NA,-30.3
3/26/2020,Thursday,MnDOT Statewide,NA,NA,-26
3/27/2020,Friday,MnDOT Statewide,NA,NA,-30.1
3/28/2020,Saturday,MnDOT Statewide,NA,NA,-56.8
3/29/2020,Sunday,MnDOT Statewide,NA,NA,-56.5
3/30/2020,Monday,MnDOT Statewide,NA,NA,-32.5
3/31/2020,Tuesday,MnDOT Statewide,NA,NA,-32.9
4/1/2020,Wednesday,MnDOT Statewide,NA,NA,-36.9
4/2/2020,Thursday,MnDOT Statewide,NA,NA,-40.8
4/3/2020,Friday,MnDOT Statewide,NA,NA,-51.7
4/4/2020,Saturday,MnDOT Statewide,NA,NA,-47.1
4/5/2020,Sunday,MnDOT Statewide,NA,NA,-48.4
