Iteration	Objective	Obj. change	Error	CPU time (s)
1	4.5966575403439E7	66.93%	65.35%	1.1
2	2.778473133284052E7	39.55%	47.40%	1.1
3	2.097389306556991E7	24.51%	39.84%	1.1
4	1.9208578091360413E7	8.42%	37.41%	1.2
5	1.806821949803763E7	5.94%	36.03%	1.2
6	1.6324631221804237E7	9.65%	34.70%	1.2
7	1.613038198864733E7	1.19%	33.98%	1.2
8	1.5934366653136248E7	1.22%	33.64%	1.2
9	1.5794620394932339E7	0.88%	33.10%	1.3
10	1.567308473696791E7	0.77%	32.83%	1.3
11	1.5581716862484878E7	0.58%	32.53%	1.3
12	1.5511786402396452E7	0.45%	32.37%	1.3
13	1.529135181792457E7	1.42%	31.91%	1.3
14	1.5172357458703449E7	0.78%	31.79%	1.3
15	1.5116903118158514E7	0.37%	31.53%	1.3
16	1.4958482006158426E7	1.05%	31.19%	1.4
17	1.4881131653450431E7	0.52%	30.92%	1.4
18	1.4838016832744043E7	0.29%	30.90%	1.4
19	1.4792551085875021E7	0.31%	30.78%	1.4
20	1.4753807420864759E7	0.26%	30.71%	1.4
21	1.471096294844227E7	0.29%	30.48%	1.4
22	1.4689430249586098E7	0.15%	30.50%	1.4
23	1.4666154263900299E7	0.16%	30.37%	1.4
24	1.4646586014938043E7	0.13%	30.33%	1.4
25	1.4629104563586913E7	0.12%	30.25%	1.4
26	1.4584733807173448E7	0.30%	30.20%	1.4
27	1.455238053524359E7	0.22%	30.02%	1.4
28	1.45358063164947E7	0.11%	29.98%	1.4
29	1.452249232152108E7	0.09%	29.92%	1.4
30	1.4502360323439352E7	0.14%	29.94%	1.4
