MN_start80 run 10
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize false
Iteration	Objective	Obj. change	Error	CPU time (s)
1	2.869357799617063E7	79.09%	48.72%	1.1s
2	2.3074080413386688E7	19.58%	39.33%	1.1s
3	2.152317216784827E7	6.72%	37.18%	1.2s
4	2.022266664156558E7	6.04%	35.75%	1.2s
5	1.831148580596805E7	9.45%	34.15%	1.2s
6	1.71801446792681E7	6.18%	32.53%	1.2s
7	1.6800790678824224E7	2.21%	32.11%	1.2s
8	1.6704602052578308E7	0.57%	31.73%	1.2s
9	1.6628251257745946E7	0.46%	31.57%	1.2s
10	1.6550821425763115E7	0.47%	31.34%	1.3s
11	1.6431457862672344E7	0.72%	31.20%	1.2s
12	1.6349137488367375E7	0.50%	30.92%	1.3s
13	1.6284955922936818E7	0.39%	30.74%	1.3s
14	1.6218790953072915E7	0.41%	30.54%	1.3s
15	1.6158090792971453E7	0.37%	30.37%	1.3s
16	1.6121497419929594E7	0.23%	30.22%	1.3s
17	1.6077700853835259E7	0.27%	30.17%	1.4s
18	1.6034239458478527E7	0.27%	30.01%	1.4s
19	1.6006025236964935E7	0.18%	29.97%	1.4s
20	1.5972590767862868E7	0.21%	29.85%	1.3s
21	1.5945077790014278E7	0.17%	29.78%	1.3s
22	1.5890076329356393E7	0.34%	29.56%	1.4s
23	1.5874272054861775E7	0.10%	29.52%	1.4s
24	1.5859132036566837E7	0.10%	29.45%	1.3s
25	1.5842477302648926E7	0.11%	29.42%	1.3s
26	1.5831163735447755E7	0.07%	29.34%	1.4s
27	1.5816590535018153E7	0.09%	29.29%	1.4s
28	1.5794436592425473E7	0.14%	29.20%	1.4s
29	1.5764024640907813E7	0.19%	29.10%	1.4s
30	1.574930062657269E7	0.09%	29.03%	1.4s
31	1.5736742629336972E7	0.08%	28.96%	1.4s
32	1.5716874298059082E7	0.13%	28.87%	1.4s
33	1.570031364696523E7	0.11%	28.82%	1.4s
34	1.5685851365570702E7	0.09%	28.77%	1.4s
35	1.5674995054589275E7	0.07%	28.74%	1.5s
36	1.5668705198505824E7	0.04%	28.71%	1.4s
37	1.5661965971819608E7	0.04%	28.69%	1.4s
38	1.5656562210869404E7	0.03%	28.66%	1.4s
39	1.564812411527781E7	0.05%	28.61%	1.4s
40	1.5641106443352269E7	0.04%	28.58%	1.4s
41	1.5636077178280769E7	0.03%	28.57%	1.4s
42	1.5630638580863226E7	0.03%	28.54%	1.4s
43	1.5625622917472322E7	0.03%	28.53%	1.4s
44	1.5617444341563711E7	0.05%	28.50%	1.4s
45	1.5608379859520413E7	0.06%	28.48%	1.4s
46	1.5603051455609547E7	0.03%	28.45%	1.4s
47	1.559830918754812E7	0.03%	28.43%	1.4s
48	1.5593870288563324E7	0.03%	28.41%	1.4s
49	1.5589243490857571E7	0.03%	28.38%	1.4s
50	1.558439604668048E7	0.03%	28.37%	1.4s
51	1.5580478645957971E7	0.03%	28.35%	1.4s
52	1.5574076332834804E7	0.04%	28.32%	1.4s
53	1.5567969166381348E7	0.04%	28.30%	1.4s
54	1.5556773964409564E7	0.07%	28.28%	1.4s
55	1.555281466353797E7	0.03%	28.27%	1.4s
56	1.5549875073388454E7	0.02%	28.26%	1.4s
57	1.5546452948850747E7	0.02%	28.24%	1.4s
58	1.554391444701619E7	0.02%	28.23%	1.4s
59	1.5540086496702533E7	0.02%	28.21%	1.5s
60	1.5535327945529412E7	0.03%	28.20%	1.5s
61	1.5531051395597808E7	0.03%	28.19%	1.5s
62	1.5527952811930474E7	0.02%	28.19%	1.5s
63	1.552487055508433E7	0.02%	28.18%	1.5s
64	1.5521851750644624E7	0.02%	28.17%	1.5s
65	1.551886960742731E7	0.02%	28.16%	1.4s
66	1.5515980463592157E7	0.02%	28.15%	1.4s
67	1.5512749574428977E7	0.02%	28.14%	1.5s
68	1.550982620268277E7	0.02%	28.13%	1.5s
69	1.5506954204309132E7	0.02%	28.12%	1.4s
70	1.5504162137535807E7	0.02%	28.12%	1.5s
71	1.5501346655734587E7	0.02%	28.11%	1.5s
72	1.5498477523569264E7	0.02%	28.11%	1.4s
73	1.549405523229779E7	0.03%	28.10%	1.4s
74	1.5485113460788192E7	0.06%	28.10%	1.4s
75	1.5480755050852114E7	0.03%	28.08%	1.4s
76	1.5477735553211207E7	0.02%	28.07%	1.4s
77	1.5475155131110389E7	0.02%	28.07%	1.5s
78	1.5472782380445892E7	0.02%	28.06%	1.5s
79	1.5470463473082894E7	0.01%	28.05%	1.5s
80	1.54682080878339E7	0.01%	28.05%	1.5s
81	1.5464612928583512E7	0.02%	28.04%	1.5s
82	1.5460839837473283E7	0.02%	28.03%	1.4s
83	1.5457320387088705E7	0.02%	28.02%	1.5s
84	1.5453344721040973E7	0.03%	28.01%	1.5s
85	1.5450000154657293E7	0.02%	28.00%	1.5s
86	1.5446814871191747E7	0.02%	28.00%	1.5s
87	1.5443191772308432E7	0.02%	27.99%	1.4s
88	1.544011647249558E7	0.02%	27.98%	1.4s
89	1.543707992251342E7	0.02%	27.97%	1.4s
90	1.5433659076832535E7	0.02%	27.97%	1.5s
91	1.5430717279065471E7	0.02%	27.96%	1.4s
92	1.5427784947325526E7	0.02%	27.96%	1.5s
93	1.5424519095870296E7	0.02%	27.95%	1.5s
94	1.5421660568805931E7	0.02%	27.94%	1.5s
95	1.541882457044173E7	0.02%	27.94%	1.5s
96	1.5415671918356355E7	0.02%	27.94%	1.5s
97	1.5412886404514821E7	0.02%	27.93%	1.5s
98	1.5410121530789105E7	0.02%	27.92%	1.5s
99	1.5404656587344833E7	0.04%	27.92%	1.5s
100	1.540189352219114E7	0.02%	27.91%	1.5s
101	1.5396808531208187E7	0.03%	27.90%	1.5s
102	1.5391520022923406E7	0.03%	27.89%	1.5s
103	1.5386556746298878E7	0.03%	27.88%	1.5s
104	1.5381660543450586E7	0.03%	27.88%	1.5s
105	1.5376366950862847E7	0.03%	27.87%	1.5s
106	1.5371604464788824E7	0.03%	27.86%	1.5s
107	1.5366877373523446E7	0.03%	27.85%	1.5s
108	1.5362119060443655E7	0.03%	27.84%	1.5s
109	1.5357500925922418E7	0.03%	27.84%	1.5s
110	1.5352671819038058E7	0.03%	27.83%	1.5s
111	1.5348181822134912E7	0.03%	27.82%	1.5s
112	1.5343704111765297E7	0.03%	27.82%	1.4s
113	1.5339337047891662E7	0.03%	27.81%	1.5s
114	1.5335020357227627E7	0.03%	27.80%	1.5s
115	1.5330737900488716E7	0.03%	27.79%	1.4s
116	1.5326547473768365E7	0.03%	27.79%	1.5s
117	1.5321913844866006E7	0.03%	27.79%	1.4s
118	1.531777673190726E7	0.03%	27.78%	1.4s
119	1.5313744151968475E7	0.03%	27.77%	1.4s
120	1.530974921487662E7	0.03%	27.76%	1.4s
121	1.5305234496414771E7	0.03%	27.76%	1.4s
122	1.5301345916900905E7	0.03%	27.75%	1.4s
123	1.5297546335883256E7	0.02%	27.74%	1.5s
124	1.5293801398002198E7	0.02%	27.74%	1.5s
125	1.5290085577610781E7	0.02%	27.73%	1.5s
126	1.528641538024507E7	0.02%	27.73%	1.5s
127	1.5282526846229147E7	0.03%	27.72%	1.5s
128	1.5278832400118284E7	0.02%	27.71%	1.5s
129	1.527507976971895E7	0.02%	27.71%	1.5s
130	1.5271589456443014E7	0.02%	27.70%	1.5s
131	1.5268156474027693E7	0.02%	27.70%	1.5s
132	1.5264806104399236E7	0.02%	27.69%	1.4s
133	1.5261504229175113E7	0.02%	27.69%	1.5s
134	1.5258234395697827E7	0.02%	27.68%	1.5s
135	1.5254939238449967E7	0.02%	27.68%	1.5s
136	1.525177230080912E7	0.02%	27.67%	1.5s
137	1.5248639692895541E7	0.02%	27.67%	1.5s
138	1.5245588014574742E7	0.02%	27.66%	1.5s
139	1.524254678344693E7	0.02%	27.66%	1.5s
140	1.5239574830858158E7	0.02%	27.65%	1.5s
141	1.5236606797005659E7	0.02%	27.65%	1.5s
142	1.5233677445176138E7	0.02%	27.64%	1.5s
143	1.5230784948022412E7	0.02%	27.64%	1.4s
144	1.5227937194241047E7	0.02%	27.63%	1.5s
145	1.5225112937502075E7	0.02%	27.63%	1.5s
146	1.522236598322728E7	0.02%	27.62%	1.5s
147	1.5219663251589304E7	0.02%	27.62%	1.5s
148	1.5216995803004278E7	0.02%	27.61%	1.5s
149	1.521436238095738E7	0.02%	27.61%	1.5s
150	1.5211692594918452E7	0.02%	27.61%	1.5s
151	1.5209122614211092E7	0.02%	27.60%	1.5s
152	1.5206595275053585E7	0.02%	27.60%	1.5s
153	1.5204101599467548E7	0.02%	27.59%	1.5s
154	1.5201644330455558E7	0.02%	27.59%	1.5s
155	1.5199226130632892E7	0.02%	27.59%	1.5s
156	1.5196845634804718E7	0.02%	27.58%	1.5s
157	1.5194492261781778E7	0.02%	27.58%	1.5s
158	1.5192169421645885E7	0.02%	27.57%	1.5s
159	1.5189877203705793E7	0.02%	27.57%	1.5s
160	1.5187609465023197E7	0.01%	27.56%	1.5s
161	1.5185382503512835E7	0.01%	27.56%	1.5s
162	1.518317806987254E7	0.01%	27.55%	1.5s
163	1.5181016743735656E7	0.01%	27.55%	1.5s
164	1.5178871327063212E7	0.01%	27.55%	1.5s
165	1.5176767908142064E7	0.01%	27.54%	1.5s
166	1.5174684199820897E7	0.01%	27.54%	1.5s
167	1.5172644297768278E7	0.01%	27.54%	1.5s
168	1.517062248783582E7	0.01%	27.53%	1.5s
169	1.5168636926623132E7	0.01%	27.53%	1.5s
170	1.5166674760051146E7	0.01%	27.53%	1.5s
171	1.5164750283241875E7	0.01%	27.52%	1.5s
172	1.5162830903152524E7	0.01%	27.52%	1.5s
173	1.5160960771539265E7	0.01%	27.52%	1.5s
174	1.5159098713502942E7	0.01%	27.51%	1.5s
175	1.5157271185517354E7	0.01%	27.51%	1.5s
176	1.515545214690258E7	0.01%	27.51%	1.5s
177	1.515370662394815E7	0.01%	27.51%	1.5s
178	1.5152684366055379E7	0.01%	27.51%	1.5s
CPU time: 4.24min
