MN_start80 run 3
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	1.0473321600392927E8	84.77%	98.79%	1.0s
2	3.7182632813743785E7	64.50%	61.54%	0.9s
3	2.3614870883589294E7	36.49%	49.53%	1.0s
4	2.008320579708003E7	14.96%	45.81%	1.3s
5	1.712782669384545E7	14.72%	42.89%	1.3s
6	1.6030534368138053E7	6.41%	41.09%	1.5s
7	1.5392237340760391E7	3.98%	39.98%	1.4s
8	1.5016507941344261E7	2.44%	39.04%	1.1s
9	1.4798957862939252E7	1.45%	38.41%	1.1s
10	1.4581626955545815E7	1.47%	37.90%	1.1s
11	1.4378078257008819E7	1.40%	37.38%	1.1s
12	1.4253919771754164E7	0.86%	37.06%	1.2s
13	1.4183440396481642E7	0.49%	36.88%	1.2s
14	1.410194326779428E7	0.57%	36.64%	1.2s
15	1.4030578789979337E7	0.51%	36.44%	1.2s
16	1.3964405752751052E7	0.47%	36.23%	1.2s
17	1.3905535565208504E7	0.42%	36.06%	1.2s
18	1.3843094165585972E7	0.45%	35.87%	1.2s
19	1.3791377049317848E7	0.37%	35.73%	1.2s
20	1.3733963690282168E7	0.42%	35.55%	1.2s
21	1.3685978802353855E7	0.35%	35.39%	1.3s
22	1.3640767732801061E7	0.33%	35.23%	1.3s
23	1.3599638413690386E7	0.30%	35.13%	1.3s
24	1.3545331634946663E7	0.40%	34.97%	1.2s
25	1.3496866432020087E7	0.36%	34.80%	1.2s
26	1.3453969441012245E7	0.32%	34.66%	1.3s
27	1.3413119423212487E7	0.30%	34.53%	1.3s
28	1.336172984340632E7	0.38%	34.40%	1.3s
29	1.3337956902003331E7	0.18%	34.33%	1.3s
30	1.3300871241238074E7	0.28%	34.21%	1.3s
31	1.3263808606897457E7	0.28%	34.10%	1.3s
32	1.3230444906993898E7	0.25%	33.97%	1.3s
33	1.3195028119587997E7	0.27%	33.88%	1.3s
34	1.3163722820500161E7	0.24%	33.79%	1.3s
35	1.3138532015241573E7	0.19%	33.70%	1.3s
36	1.309745385725167E7	0.31%	33.58%	1.3s
37	1.3065037369280253E7	0.25%	33.48%	1.3s
38	1.3035472273373663E7	0.23%	33.40%	1.3s
39	1.300231522097299E7	0.25%	33.30%	1.3s
40	1.2975668333806595E7	0.20%	33.21%	1.3s
41	1.2940348300091526E7	0.27%	33.08%	1.3s
42	1.2915121881430907E7	0.19%	33.01%	1.3s
43	1.288993523952141E7	0.20%	32.95%	1.3s
44	1.2859122767143374E7	0.24%	32.86%	1.3s
45	1.2839721997253504E7	0.15%	32.80%	1.3s
46	1.2817798023289807E7	0.17%	32.72%	1.3s
47	1.2793430164313031E7	0.19%	32.64%	1.3s
48	1.277219161764206E7	0.17%	32.58%	1.3s
49	1.2753268709246019E7	0.15%	32.52%	1.3s
50	1.2736345873382995E7	0.13%	32.48%	1.4s
51	1.2701881232621022E7	0.27%	32.38%	1.3s
52	1.2673990736380726E7	0.22%	32.29%	1.3s
53	1.2652677051416961E7	0.17%	32.22%	1.3s
54	1.2634875458086686E7	0.14%	32.17%	1.3s
55	1.2604168944457345E7	0.24%	32.07%	1.3s
56	1.258394404515771E7	0.16%	32.00%	1.4s
57	1.2556939722357567E7	0.21%	31.91%	1.3s
58	1.2543224466127254E7	0.11%	31.87%	1.4s
59	1.2530607284481453E7	0.10%	31.84%	1.4s
60	1.2524143565551287E7	0.05%	31.82%	1.4s
61	1.2511661639023237E7	0.10%	31.79%	1.4s
62	1.249109462295427E7	0.16%	31.74%	1.4s
63	1.2478875428020455E7	0.10%	31.70%	1.4s
64	1.2466819816494964E7	0.10%	31.67%	1.5s
65	1.2453804759019094E7	0.10%	31.63%	1.4s
66	1.2438083968184358E7	0.13%	31.58%	1.4s
67	1.2427893527619783E7	0.08%	31.54%	1.4s
68	1.2416469200698089E7	0.09%	31.51%	1.3s
69	1.240954852504646E7	0.06%	31.50%	1.4s
70	1.2397317307630662E7	0.10%	31.46%	1.4s
71	1.2386467704440115E7	0.09%	31.42%	1.4s
72	1.2371251752446191E7	0.12%	31.35%	1.4s
73	1.2359278788278788E7	0.10%	31.33%	1.4s
74	1.2346311893570166E7	0.10%	31.29%	1.4s
75	1.2332171718239466E7	0.11%	31.25%	1.4s
76	1.2322476931105617E7	0.08%	31.23%	1.4s
77	1.2312256825588377E7	0.08%	31.20%	1.4s
78	1.2300302932875616E7	0.10%	31.17%	1.4s
79	1.2288759507561259E7	0.09%	31.13%	1.4s
80	1.2277189098661905E7	0.09%	31.11%	1.4s
81	1.2265790329193434E7	0.09%	31.08%	1.4s
82	1.2256618557804253E7	0.07%	31.05%	1.4s
83	1.2247237906847842E7	0.08%	31.03%	1.4s
84	1.2236276244333455E7	0.09%	31.01%	1.4s
85	1.2225448714160737E7	0.09%	30.98%	1.4s
86	1.2215861548923973E7	0.08%	30.95%	1.4s
87	1.2205094955479193E7	0.09%	30.93%	1.4s
88	1.2195625018446892E7	0.08%	30.91%	1.4s
89	1.2185176995382858E7	0.09%	30.88%	1.4s
90	1.2175900652103415E7	0.08%	30.86%	1.4s
91	1.216641440220451E7	0.08%	30.85%	1.4s
92	1.2158479138368879E7	0.07%	30.83%	1.4s
93	1.2150084246351866E7	0.07%	30.81%	1.4s
94	1.213670095842981E7	0.11%	30.77%	1.4s
95	1.2127868100183204E7	0.07%	30.76%	1.4s
96	1.2122457463758266E7	0.04%	30.74%	1.5s
97	1.2116707492177501E7	0.05%	30.73%	1.4s
98	1.2106597344165782E7	0.08%	30.70%	1.5s
99	1.2098394347032344E7	0.07%	30.69%	1.4s
100	1.2094064330585562E7	0.04%	30.68%	1.4s
101	1.2086795672666183E7	0.06%	30.66%	1.4s
102	1.2080431406841446E7	0.05%	30.64%	1.5s
103	1.2072507739453614E7	0.07%	30.62%	1.4s
104	1.206700841853707E7	0.05%	30.61%	1.4s
105	1.2058595371360864E7	0.07%	30.59%	1.5s
106	1.2050019220469244E7	0.07%	30.57%	1.5s
107	1.2044888929802028E7	0.04%	30.56%	1.4s
108	1.2040263314908724E7	0.04%	30.55%	1.4s
109	1.203306875677132E7	0.06%	30.53%	1.4s
110	1.2028259614315925E7	0.04%	30.52%	1.4s
111	1.2023625334564894E7	0.04%	30.50%	1.4s
112	1.201880148270745E7	0.04%	30.49%	1.4s
113	1.201356602098533E7	0.04%	30.48%	1.4s
114	1.2008203662313055E7	0.04%	30.46%	1.4s
115	1.2004129166926164E7	0.03%	30.45%	1.4s
116	1.1999230079564728E7	0.04%	30.44%	1.4s
117	1.1994740462560514E7	0.04%	30.43%	1.5s
118	1.1989629902589682E7	0.04%	30.42%	1.4s
119	1.1980178709772116E7	0.08%	30.40%	1.4s
120	1.1975197940297054E7	0.04%	30.39%	1.4s
121	1.1967312318825297E7	0.07%	30.37%	1.4s
122	1.1964279821546867E7	0.03%	30.37%	1.5s
123	1.195686844608332E7	0.06%	30.35%	1.4s
124	1.1953653654405763E7	0.03%	30.34%	1.5s
125	1.194959949273935E7	0.03%	30.33%	1.4s
126	1.1945305749650558E7	0.04%	30.32%	1.4s
