time	total error	% error	count	predicted
80	0.0	0.00	636.44	636.45
81	151.8312923104404	19.47	779.82	720.77
82	166.13659528363925	21.38	777.13	790.79
83	268.7711194550349	35.69	753.08	851.43
84	240.4757157010778	27.69	868.41	906.30
85	285.9501382555776	35.92	796.14	958.22
86	318.34718851937635	31.64	1006.22	1009.53
87	368.536547499767	33.73	1092.50	1062.29
88	382.17006975891775	32.02	1193.55	1118.44
89	400.53031610341725	31.66	1264.97	1179.96
90	423.35723791355065	32.34	1309.00	1248.93
91	434.31578489938335	31.00	1401.00	1327.75
92	396.63323246427626	28.27	1403.00	1419.20
93	465.8444317080878	29.39	1585.00	1526.61
94	546.6744793223503	30.59	1787.11	1654.08
95	510.4731604505387	28.05	1820.05	1806.61
96	563.1878505329289	28.59	1969.61	1990.40
97	629.6968492062832	27.82	2263.67	2147.64
98	687.5729655051356	26.50	2594.48	2284.47
99	932.381156003124	31.55	2955.48	2406.26
100	1228.8819268440757	35.76	3436.45	2517.74
101	1471.4479563784766	38.35	3837.06	2623.02
102	1317.4651229014855	36.17	3642.56	2725.72
103	1682.1641145082187	54.21	3102.90	2829.06
104	1682.7732466792586	50.56	3328.57	2935.87
105	1662.8603094402174	45.18	3680.39	3048.75
106	1778.6665060816422	42.89	4146.64	3170.04
107	1937.0697783254634	43.15	4489.26	3301.95
108	2094.767637054652	45.25	4629.67	3446.58
109	1997.1927185299837	43.85	4554.71	3605.95
110	1967.4292160081995	44.64	4407.47	3782.08
111	1960.9842546045886	44.18	4438.90	3976.99
112	1784.5786003575372	41.49	4301.74	4192.77
113	1698.8137240865944	38.47	4415.38	4431.59
114	1454.122203724031	30.10	4831.69	4695.73
115	1332.69765721014	27.80	4793.13	4987.66
116	1311.3740611620829	26.83	4887.11	5310.00
117	1106.4498039784617	22.38	4944.39	5665.62
118	1160.4422845360805	24.04	4826.53	5897.02
119	1276.4828777200644	26.87	4750.79	6030.08
120	1218.9808467778835	24.64	4947.41	6085.81
121	974.5234266425824	17.71	5502.94	6081.32
122	938.6044573978703	16.86	5568.48	6030.45
123	1072.1971393158892	19.02	5636.12	5944.42
124	1245.8176324115468	21.93	5681.36	5832.31
125	1477.3884851162768	26.10	5661.08	5701.42
126	1179.2026240742828	22.26	5296.69	5557.66
127	1197.4261141413829	22.55	5309.59	5405.74
128	1366.7273195356188	24.49	5581.57	5249.45
129	1373.2963164238713	26.00	5281.21	5091.79
130	1310.3912568667504	25.73	5093.53	4935.17
131	1205.9471807258228	25.65	4701.97	4781.49
132	968.0715811117016	23.34	4147.63	4632.22
133	1051.930930835195	28.17	3734.49	4488.55
134	866.1222140275081	23.33	3712.59	4351.38
135	720.8907330045777	18.35	3928.95	4221.44
136	664.9891358062139	16.52	4025.68	4099.28
137	582.7947468927783	15.90	3664.90	3985.34
138	679.9903048711635	20.18	3370.43	3879.97
139	729.9104481431689	23.43	3114.72	3783.44
140	760.0767849995243	25.54	2975.57	3695.99
141	607.5064172149804	19.15	3171.66	3605.22
142	495.1514391355286	14.27	3470.73	3512.37
143	520.6383804552914	15.97	3260.65	3418.79
144	534.087483088935	17.32	3083.87	3325.82
145	616.555861052963	22.04	2797.85	3234.70
146	713.0500938357338	27.65	2578.98	3146.56
147	583.8167568107806	22.89	2550.98	3062.38
148	368.7465819877389	13.48	2736.15	2983.03
149	336.9593963848072	11.53	2922.81	2909.25
150	301.82911742526215	10.61	2843.92	2841.70
151	403.0478673946864	14.29	2819.96	2780.95
152	410.42058144768964	15.06	2725.49	2727.52
