MN_start80 run 2
T = 153
lambda_periods = 12
r_periods = 7
include travel: false
randomize true
Iteration	Objective	Obj. change	Error	CPU time (s)
1	9.499100792921738E7	85.69%	97.51%	1.2s
2	4.575456540120876E7	51.83%	65.10%	1.0s
3	3.0131838977336638E7	34.14%	53.64%	1.1s
4	2.230252079479855E7	25.98%	47.88%	1.2s
5	2.041315735399932E7	8.47%	45.59%	1.2s
6	1.9330488520308662E7	5.30%	44.17%	1.2s
7	1.7834075883337177E7	7.74%	42.71%	1.1s
8	1.7316896444218773E7	2.90%	41.92%	1.2s
9	1.6700144317573115E7	3.56%	41.17%	1.2s
10	1.6077820139697077E7	3.73%	40.34%	1.2s
11	1.5853963602207122E7	1.39%	39.95%	1.1s
12	1.5696080036719313E7	1.00%	39.64%	1.2s
13	1.5391284231697127E7	1.94%	39.14%	1.2s
14	1.5252659483671915E7	0.90%	38.88%	1.2s
15	1.509076222415288E7	1.06%	38.59%	1.2s
16	1.4959829865064971E7	0.87%	38.33%	1.2s
17	1.484688185002966E7	0.76%	38.11%	1.3s
18	1.4718759725865703E7	0.86%	37.87%	1.3s
19	1.4608757440713458E7	0.75%	37.67%	1.4s
20	1.4467431384086477E7	0.97%	37.42%	1.3s
21	1.4350615209069874E7	0.81%	37.19%	1.3s
22	1.4266439245392457E7	0.59%	37.02%	1.3s
23	1.4171133649655055E7	0.67%	36.81%	1.3s
24	1.4084640610498156E7	0.61%	36.61%	1.3s
25	1.399373768113102E7	0.65%	36.36%	1.5s
26	1.3944289155489244E7	0.35%	36.25%	1.3s
27	1.3885299582767274E7	0.42%	36.13%	1.4s
28	1.38412098715469E7	0.32%	36.04%	1.3s
29	1.378907644695783E7	0.38%	35.91%	1.4s
30	1.3745906752147151E7	0.31%	35.81%	1.3s
31	1.369205753587495E7	0.39%	35.68%	1.3s
32	1.366395527335976E7	0.21%	35.59%	1.4s
33	1.3624703408313474E7	0.29%	35.50%	1.4s
34	1.3594590398742016E7	0.22%	35.42%	1.3s
35	1.3559501087283527E7	0.26%	35.32%	1.3s
36	1.3529461682146728E7	0.22%	35.23%	1.3s
37	1.3487321229692232E7	0.31%	35.13%	1.3s
38	1.3461874030550228E7	0.19%	35.06%	1.3s
39	1.3428615945856618E7	0.25%	34.96%	1.3s
40	1.3407583897489727E7	0.16%	34.90%	1.3s
41	1.3376997973245695E7	0.23%	34.81%	1.3s
42	1.3360775193472918E7	0.12%	34.76%	1.3s
43	1.3331367525256783E7	0.22%	34.67%	1.4s
44	1.3308261701586531E7	0.17%	34.60%	1.3s
45	1.3271401641582895E7	0.28%	34.47%	1.4s
46	1.3257340844804274E7	0.11%	34.42%	1.3s
47	1.3235223654346073E7	0.17%	34.36%	1.3s
48	1.320887329458132E7	0.20%	34.28%	1.3s
49	1.3176263186403483E7	0.25%	34.19%	1.3s
50	1.3147265000022924E7	0.22%	34.09%	1.3s
51	1.3120694730038093E7	0.20%	34.01%	1.4s
52	1.3098683156497495E7	0.17%	33.93%	1.5s
53	1.308282268691401E7	0.12%	33.87%	1.5s
54	1.306339793855557E7	0.15%	33.80%	1.4s
55	1.3053900986133844E7	0.07%	33.76%	1.5s
56	1.3043982432245085E7	0.08%	33.72%	1.4s
57	1.3027806792584894E7	0.12%	33.65%	1.3s
58	1.3003448709256317E7	0.19%	33.57%	1.4s
59	1.2988015491882218E7	0.12%	33.50%	1.4s
60	1.2969211808131041E7	0.14%	33.42%	1.4s
61	1.2955594294171501E7	0.10%	33.36%	1.4s
62	1.2945253067011328E7	0.08%	33.31%	1.4s
63	1.293871466290726E7	0.05%	33.28%	1.4s
64	1.2930728924046032E7	0.06%	33.24%	1.4s
65	1.2922166770358339E7	0.07%	33.20%	1.4s
66	1.2912989170032123E7	0.07%	33.16%	1.4s
67	1.2904095208063684E7	0.07%	33.12%	1.4s
68	1.2896751389590798E7	0.06%	33.08%	1.3s
69	1.2890943926316328E7	0.05%	33.05%	1.4s
70	1.288489908767794E7	0.05%	33.02%	1.4s
71	1.2878893007504396E7	0.05%	32.99%	1.4s
72	1.2874366709703473E7	0.04%	32.97%	1.4s
73	1.2869545380291803E7	0.04%	32.94%	1.4s
74	1.2864427786173679E7	0.04%	32.92%	1.4s
75	1.2859713898179421E7	0.04%	32.90%	1.4s
76	1.2854740867489832E7	0.04%	32.87%	1.4s
77	1.2850787565014323E7	0.03%	32.85%	1.4s
78	1.284681929591199E7	0.03%	32.83%	1.4s
79	1.2842878926445361E7	0.03%	32.82%	1.4s
80	1.2837902177247036E7	0.04%	32.79%	1.4s
81	1.2834963254969746E7	0.02%	32.78%	1.4s
82	1.2830445398917312E7	0.04%	32.75%	1.5s
83	1.282700531368155E7	0.03%	32.74%	1.4s
84	1.2822257481050491E7	0.04%	32.71%	1.4s
85	1.2819544846202945E7	0.02%	32.69%	1.5s
86	1.2815895519070303E7	0.03%	32.68%	1.4s
87	1.2813360396655392E7	0.02%	32.66%	1.4s
88	1.2808944763311505E7	0.03%	32.64%	1.4s
89	1.28048322927662E7	0.03%	32.61%	1.4s
90	1.280037644308962E7	0.03%	32.60%	1.4s
91	1.2795955142318154E7	0.03%	32.58%	1.4s
92	1.2790307722077586E7	0.04%	32.56%	1.4s
93	1.2785594631130045E7	0.04%	32.53%	1.3s
94	1.2781742214033196E7	0.03%	32.52%	1.4s
95	1.2777813143351907E7	0.03%	32.49%	1.4s
96	1.277406680858062E7	0.03%	32.47%	1.4s
97	1.2771802146677349E7	0.02%	32.46%	1.4s
98	1.2769276413130432E7	0.02%	32.44%	1.4s
99	1.2763983957846664E7	0.04%	32.41%	1.4s
100	1.276083620925085E7	0.02%	32.40%	1.4s
101	1.2757334415973622E7	0.03%	32.38%	1.4s
102	1.2754253548775855E7	0.02%	32.37%	1.4s
103	1.2751338096827108E7	0.02%	32.35%	1.4s
104	1.2748278412114155E7	0.02%	32.34%	1.4s
105	1.274428158001166E7	0.03%	32.32%	1.4s
106	1.2742422116067665E7	0.01%	32.31%	1.4s
107	1.273903210480902E7	0.03%	32.30%	1.4s
108	1.2736323450792482E7	0.02%	32.28%	1.4s
109	1.2732373146658981E7	0.03%	32.26%	1.5s
110	1.2729714966125745E7	0.02%	32.25%	1.4s
111	1.2727089516173536E7	0.02%	32.24%	1.4s
112	1.2725229550282791E7	0.01%	32.23%	1.4s
113	1.2722697377474729E7	0.02%	32.21%	1.4s
114	1.2721016900905326E7	0.01%	32.21%	1.4s
115	1.2718058881630698E7	0.02%	32.19%	1.5s
116	1.2715109579010839E7	0.02%	32.17%	1.6s
117	1.2713639775601959E7	0.01%	32.17%	1.4s
118	1.2711983360978134E7	0.01%	32.16%	1.5s
119	1.2710491068001347E7	0.01%	32.15%	1.5s
120	1.270848605199871E7	0.02%	32.14%	1.6s
121	1.2706422522738095E7	0.02%	32.13%	1.6s
122	1.270502073676634E7	0.01%	32.12%	1.7s
123	1.2703718449070623E7	0.01%	32.11%	1.5s
124	1.2701688631641364E7	0.02%	32.10%	1.4s
125	1.2700457356545502E7	0.01%	32.10%	1.4s
CPU time: 2.84min
