time	total error	% error	count	predicted
80	0.0	0.00	636.44	1307.54
81	370.14352168068905	47.47	779.82	1674.51
82	629.8744603374658	81.05	777.13	1953.06
83	821.6586623931379	109.11	753.08	2165.87
84	770.6366575570019	88.74	868.41	2329.98
85	962.3063164495899	120.87	796.14	2458.28
86	701.0582223392873	69.67	1006.22	2560.64
87	727.5167231230554	66.59	1092.50	2644.67
88	740.9072954069712	62.08	1193.55	2716.34
89	781.1818981993457	61.75	1264.97	2780.37
90	816.3898066001689	62.37	1309.00	2840.57
91	837.2236480150434	59.76	1401.00	2900.11
92	719.1433403318458	51.26	1403.00	2961.66
93	793.4149088294583	50.06	1585.00	3027.56
94	943.4208624184182	52.79	1787.11	3099.93
95	987.8536153929527	54.28	1820.05	3180.78
96	1158.2180475653606	58.80	1969.61	3272.05
97	856.9609958037711	37.86	2263.67	3359.67
98	722.1885573497943	27.84	2594.48	3444.02
99	817.5139042710714	27.66	2955.48	3526.16
100	1059.8219485957063	30.84	3436.45	3607.49
101	1386.7764902689798	36.14	3837.06	3689.57
102	1157.4166433224163	31.77	3642.56	3773.97
103	1781.1475990501485	57.40	3102.90	3862.26
104	1679.4747248582767	50.46	3328.57	3955.90
105	1518.548041536124	41.26	3680.39	4056.31
106	1519.9538586672238	36.66	4146.64	4164.82
107	1733.1565767939062	38.61	4489.26	4282.69
108	1886.2087114401716	40.74	4629.67	4411.12
109	1803.7056273353537	39.60	4554.71	4551.30
110	1671.1783785292596	37.92	4407.47	4704.36
111	1895.0992441169333	42.69	4438.90	4871.48
112	1739.1455530522544	40.43	4301.74	5053.81
113	1579.6276488496721	35.78	4415.38	5252.56
114	1263.2758226158803	26.15	4831.69	5468.99
115	1161.8947211615896	24.24	4793.13	5704.42
116	1096.896406329829	22.44	4887.11	5960.26
117	955.3195066456632	19.32	4944.39	6238.00
118	1109.8246847693465	22.99	4826.53	6406.61
119	1225.4095464890286	25.79	4750.79	6489.32
120	1102.6055771760743	22.29	4947.41	6504.92
121	1071.6289778915489	19.47	5502.94	6468.62
122	1261.035052793476	22.65	5568.48	6392.73
123	1545.3525437410033	27.42	5636.12	6287.13
124	1846.960700846842	32.51	5681.36	6159.81
125	1303.5668577909196	23.03	5661.08	6017.16
126	1008.9317994597097	19.05	5296.69	5864.31
127	962.3146982086602	18.12	5309.59	5705.33
128	1090.3851028855404	19.54	5581.57	5543.48
129	1090.1592633758155	20.64	5281.21	5381.31
130	1069.568230586158	21.00	5093.53	5220.85
131	1000.5378693121002	21.28	4701.97	5063.67
132	1048.4045838570473	25.28	4147.63	4910.99
133	1148.3998338780684	30.75	3734.49	4763.76
134	990.5985073268447	26.68	3712.59	4622.67
135	764.5033008473512	19.46	3928.95	4488.26
136	586.6645540588067	14.57	4025.68	4360.92
137	730.3772880612594	19.93	3664.90	4240.94
138	860.6688276077772	25.54	3370.43	4128.50
139	618.164758861176	19.85	3114.72	4023.74
140	649.9523013252127	21.84	2975.57	3926.76
141	571.7236636926434	18.03	3171.66	3829.63
142	646.3981744524253	18.62	3470.73	3732.80
143	590.258758163492	18.10	3260.65	3636.98
144	609.683898705368	19.77	3083.87	3542.95
145	541.2697203733977	19.35	2797.85	3451.47
146	656.7704462085532	25.47	2578.98	3363.30
147	570.7331772797062	22.37	2550.98	3279.11
148	355.61972741379293	13.00	2736.15	3199.51
149	456.69869724276873	15.63	2922.81	3125.03
150	402.3106289473087	14.15	2843.92	3056.14
151	476.0830767777116	16.88	2819.96	2993.28
152	471.959743584008	17.32	2725.49	2936.82
