,CountyIndex,CountyName,CountyArea,VertexIndex,Longitude,Latitude
44849,91,Martin,1888317691.0,0,-94.36897462,43.84802563
44850,91,Martin,1888317691.0,1,-94.3676306,43.84802555
44851,91,Martin,1888317691.0,2,-94.34875754,43.84802203
44852,91,Martin,1888317691.0,3,-94.34748862,43.84802463
44853,91,Martin,1888317691.0,4,-94.32877816,43.84806077
44854,91,Martin,1888317691.0,5,-94.32744696,43.84806007
44855,91,Martin,1888317691.0,6,-94.30879759999999,43.84806452
44856,91,Martin,1888317691.0,7,-94.30736728,43.84806472
44857,91,Martin,1888317691.0,8,-94.28870474,43.84803522
44858,91,Martin,1888317691.0,9,-94.28719971,43.84803264
44859,91,Martin,1888317691.0,10,-94.27320652,43.84798799
44860,91,Martin,1888317691.0,11,-94.26862403,43.847972999999996
44861,91,Martin,1888317691.0,12,-94.26719325,43.84796988
44862,91,Martin,1888317691.0,13,-94.24875469,43.84792237
44863,91,Martin,1888317691.0,14,-94.24718709999999,43.84792107
44864,91,Martin,1888317691.0,15,-94.24738767,43.83305042
44865,91,Martin,1888317691.0,16,-94.24747182,43.818562
44866,91,Martin,1888317691.0,17,-94.2474564,43.80406562
44867,91,Martin,1888317691.0,18,-94.2475286,43.78959527
44868,91,Martin,1888317691.0,19,-94.24746289,43.77506335
44869,91,Martin,1888317691.0,20,-94.24756987,43.76046649
44870,91,Martin,1888317691.0,21,-94.24798023,43.74612752
44871,91,Martin,1888317691.0,22,-94.24792761,43.73163183
44872,91,Martin,1888317691.0,23,-94.24799845,43.71709874
44873,91,Martin,1888317691.0,24,-94.24803268,43.70259302
44874,91,Martin,1888317691.0,25,-94.24803087,43.68814169
44875,91,Martin,1888317691.0,26,-94.24790531,43.67370068
44876,91,Martin,1888317691.0,27,-94.24784188,43.65925896
44877,91,Martin,1888317691.0,28,-94.24789032,43.64482498
44878,91,Martin,1888317691.0,29,-94.2479621,43.63031868
44879,91,Martin,1888317691.0,30,-94.24791115,43.61586771
44880,91,Martin,1888317691.0,31,-94.24787455,43.60150658
44881,91,Martin,1888317691.0,32,-94.24785965,43.58699212
44882,91,Martin,1888317691.0,33,-94.24794556,43.57255755
44883,91,Martin,1888317691.0,34,-94.24800564,43.55806921
44884,91,Martin,1888317691.0,35,-94.24799319,43.54366267
44885,91,Martin,1888317691.0,36,-94.24792966,43.5291756
44886,91,Martin,1888317691.0,37,-94.24791572,43.51468796
44887,91,Martin,1888317691.0,38,-94.24793718,43.50028199
44888,91,Martin,1888317691.0,39,-94.25024351,43.500122999999995
44889,91,Martin,1888317691.0,40,-94.25104678,43.50012442
44890,91,Martin,1888317691.0,41,-94.25537183,43.50021751
44891,91,Martin,1888317691.0,42,-94.26449224,43.50035853
44892,91,Martin,1888317691.0,43,-94.26581142,43.50035358
44893,91,Martin,1888317691.0,44,-94.26757047,43.50034753
44894,91,Martin,1888317691.0,45,-94.2677796,43.50034767
44895,91,Martin,1888317691.0,46,-94.27896181,43.50035662
44896,91,Martin,1888317691.0,47,-94.28469209,43.50036161
44897,91,Martin,1888317691.0,48,-94.28608394,43.50035659
44898,91,Martin,1888317691.0,49,-94.28758207,43.50035064
44899,91,Martin,1888317691.0,50,-94.28776916,43.50035086
44900,91,Martin,1888317691.0,51,-94.30696481,43.50037467
44901,91,Martin,1888317691.0,52,-94.30772088,43.50037384
44902,91,Martin,1888317691.0,53,-94.32397668,43.50035472
44903,91,Martin,1888317691.0,54,-94.32747873,43.50035169
44904,91,Martin,1888317691.0,55,-94.32771143,43.50035187
44905,91,Martin,1888317691.0,56,-94.34337437,43.50037276
44906,91,Martin,1888317691.0,57,-94.34461218,43.50037671
44907,91,Martin,1888317691.0,58,-94.34695558,43.50038375
44908,91,Martin,1888317691.0,59,-94.34773716,43.50038284
44909,91,Martin,1888317691.0,60,-94.35741601,43.50037079
44910,91,Martin,1888317691.0,61,-94.36357301,43.50035776
44911,91,Martin,1888317691.0,62,-94.36447696,43.500349799999995
44912,91,Martin,1888317691.0,63,-94.36766378,43.50032137
44913,91,Martin,1888317691.0,64,-94.36806416,43.50031777
44914,91,Martin,1888317691.0,65,-94.37524882,43.50024638
44915,91,Martin,1888317691.0,66,-94.37610668,43.50030281
44916,91,Martin,1888317691.0,67,-94.37675767,43.500338799999994
44917,91,Martin,1888317691.0,68,-94.3769245,43.50034883
44918,91,Martin,1888317691.0,69,-94.37701349,43.50035282
44919,91,Martin,1888317691.0,70,-94.37710174,43.50035781
44920,91,Martin,1888317691.0,71,-94.37719156,43.50036383
44921,91,Martin,1888317691.0,72,-94.37738856,43.50037482
44922,91,Martin,1888317691.0,73,-94.37746675,43.50037979
44923,91,Martin,1888317691.0,74,-94.37759973,43.50037981
44924,91,Martin,1888317691.0,75,-94.37846263,43.5003858
44925,91,Martin,1888317691.0,76,-94.38016487,43.50039784
44926,91,Martin,1888317691.0,77,-94.38777364,43.50044821
44927,91,Martin,1888317691.0,78,-94.38939429,43.50045885
44928,91,Martin,1888317691.0,79,-94.39059708,43.50046984
44929,91,Martin,1888317691.0,80,-94.40322554,43.50041885
44930,91,Martin,1888317691.0,81,-94.40334569,43.5004159
44931,91,Martin,1888317691.0,82,-94.40482776,43.5003849
44932,91,Martin,1888317691.0,83,-94.40660162,43.5003849
44933,91,Martin,1888317691.0,84,-94.40842922,43.50038527
44934,91,Martin,1888317691.0,85,-94.42417946,43.5003869
44935,91,Martin,1888317691.0,86,-94.42676143,43.50039692
44936,91,Martin,1888317691.0,87,-94.42713179,43.50039892
44937,91,Martin,1888317691.0,88,-94.42827326,43.50039895
44938,91,Martin,1888317691.0,89,-94.42885965,43.50039894
44939,91,Martin,1888317691.0,90,-94.44283537,43.50058398
44940,91,Martin,1888317691.0,91,-94.44704852,43.500640000000004
44941,91,Martin,1888317691.0,92,-94.44792723,43.50062761
44942,91,Martin,1888317691.0,93,-94.44804625,43.50062596
44943,91,Martin,1888317691.0,94,-94.46228475,43.50041932
44944,91,Martin,1888317691.0,95,-94.46713079999999,43.50041634
44945,91,Martin,1888317691.0,96,-94.49237769,43.50044982
44946,91,Martin,1888317691.0,97,-94.51237988,43.50048417
44947,91,Martin,1888317691.0,98,-94.53239387,43.50049684
44948,91,Martin,1888317691.0,99,-94.55233264,43.50047102
44949,91,Martin,1888317691.0,100,-94.56687099,43.50041447
44950,91,Martin,1888317691.0,101,-94.57241962,43.5003924
44951,91,Martin,1888317691.0,102,-94.59241034,43.50046298
44952,91,Martin,1888317691.0,103,-94.61418422,43.50065009
44953,91,Martin,1888317691.0,104,-94.63423533,43.50066241
44954,91,Martin,1888317691.0,105,-94.65443545,43.50069607
44955,91,Martin,1888317691.0,106,-94.6741911,43.50075968
44956,91,Martin,1888317691.0,107,-94.6941685,43.50078957
44957,91,Martin,1888317691.0,108,-94.71423363,43.50085968
44958,91,Martin,1888317691.0,109,-94.73414955,43.50090151
