MN_travel run 0
T = 153
lambda_periods = 23
r_periods = 7
include travel: true
randomize false
model2 false
Iteration	Objective	Obj. change	I Error	 R error	CPU time (s)
1	4.736423589387144E7	91.54%	77.79%	83.33%	307.7s
2	3.2447715111606292E7	31.49%	67.78%	89.45%	268.7s
3	2.6582253821948614E7	18.08%	66.13%	94.23%	276.8s
4	2.2673034855259165E7	14.71%	65.88%	104.90%	324.0s
5	1.934294702387448E7	14.69%	64.58%	114.15%	299.9s
6	1.7478330982159913E7	9.64%	62.68%	117.96%	289.8s
7	1.5934845261052381E7	8.83%	59.81%	119.10%	294.0s
8	1.4731905975913543E7	7.55%	57.70%	119.49%	314.9s
9	1.3777568514685882E7	6.48%	55.89%	116.94%	284.3s
10	1.2953890041955959E7	5.98%	55.28%	117.22%	292.1s
11	1.23894075161447E7	4.36%	53.19%	115.07%	293.7s
12	1.2030351960661964E7	2.90%	52.25%	114.43%	307.3s
13	1.169048324597864E7	2.83%	50.96%	113.12%	293.1s
14	1.1362997935296914E7	2.80%	49.85%	112.31%	314.7s
15	1.1136696812094498E7	1.99%	49.19%	112.22%	304.9s
16	1.094800032162224E7	1.69%	48.61%	112.46%	294.1s
17	1.0782730626456657E7	1.51%	48.06%	112.13%	270.9s
18	1.0609871814068753E7	1.60%	47.58%	113.25%	300.6s
19	1.0468572024756864E7	1.33%	46.73%	111.86%	348.1s
20	1.0321736472040828E7	1.40%	46.10%	112.34%	292.2s
21	1.0209319498832354E7	1.09%	45.74%	112.54%	318.0s
22	1.0081983153572775E7	1.25%	45.26%	112.44%	253.4s
23	9994439.414715547	0.87%	45.07%	112.67%	253.2s
24	9904958.782951925	0.90%	44.75%	113.00%	260.1s
25	9836971.971536564	0.69%	44.77%	113.37%	260.1s
26	9747659.284526814	0.91%	44.57%	113.74%	258.4s
27	9666101.397507738	0.84%	44.58%	114.32%	257.5s
28	9582125.340153076	0.87%	44.23%	114.14%	261.4s
29	9481490.710390091	1.05%	44.17%	114.91%	301.3s
30	9376518.609448042	1.11%	44.05%	115.21%	301.6s
31	9306020.679720411	0.75%	43.70%	114.98%	658.1s
32	9258361.819224557	0.51%	43.42%	114.51%	623.0s
33	9206999.258004962	0.55%	43.08%	114.14%	613.4s
34	9158406.651107421	0.53%	42.97%	114.59%	598.4s
35	9107216.789643103	0.56%	42.71%	114.21%	601.1s
36	9069294.555317292	0.42%	42.62%	114.34%	624.8s
37	9034201.737936674	0.39%	42.37%	113.84%	624.6s
38	8996241.381197268	0.42%	42.32%	114.31%	618.4s
39	8963802.920516603	0.36%	42.15%	114.28%	784.6s
40	8924287.187595855	0.44%	42.05%	114.44%	711.3s
41	8886489.082387459	0.42%	41.99%	114.55%	701.0s
42	8852644.65365741	0.38%	41.99%	114.50%	765.0s
43	8823707.361959383	0.33%	41.89%	114.55%	782.7s
44	8795931.298165962	0.31%	41.90%	114.95%	792.2s
45	8766776.26792971	0.33%	41.75%	115.08%	706.4s
46	8740584.907742206	0.30%	41.70%	115.24%	709.3s
47	8710240.068149807	0.35%	41.59%	115.27%	690.1s
48	8682896.10674756	0.31%	41.53%	115.45%	703.4s
49	8658631.97096818	0.28%	41.41%	115.55%	707.5s
50	8631750.513074586	0.31%	41.36%	115.84%	722.5s
51	8608641.582403325	0.27%	41.31%	115.87%	707.6s
52	8587240.087931145	0.25%	41.28%	116.12%	706.9s
53	8561488.042921176	0.30%	41.16%	116.04%	712.6s
54	8534427.705178391	0.32%	41.06%	116.11%	716.2s
55	8511297.40889308	0.27%	41.01%	116.20%	728.2s
56	8484059.42831508	0.32%	40.92%	116.23%	724.3s
57	8458913.208089078	0.30%	40.79%	116.06%	734.4s
58	8432662.466776082	0.31%	40.71%	116.03%	730.9s
59	8412150.085440194	0.24%	40.61%	115.94%	728.9s
60	8391029.711309824	0.25%	40.56%	115.90%	760.4s
61	8372242.373170919	0.22%	40.49%	115.83%	760.3s
62	8352052.637345899	0.24%	40.45%	115.86%	804.7s
63	8331298.160564064	0.25%	40.39%	115.87%	991.5s
64	8312978.828862842	0.22%	40.34%	115.92%	990.0s
65	8291769.15922406	0.26%	40.17%	115.58%	924.5s
66	8271834.7120977305	0.24%	40.12%	115.66%	930.1s
67	8251836.357456193	0.24%	40.05%	115.69%	924.0s
68	8234929.759771883	0.20%	39.97%	115.73%	871.8s
