time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
60	0.0	0.00	17.00	54.30	0.00	0.00	NaN	9.93	9.93	0.00	0.00	0.00	NaN	0.00	0.00	NaN	2.03	2.03	0.00	0.00	0.00	NaN	22.73	22.73	0.00	0.00	0.00	NaN	0.00	0.00	NaN	19.61	19.61	0.00
61	17.22725808006145	78.31	22.00	59.78	0.00	0.01	Infinity	13.90	9.31	65.61	0.00	0.00	Infinity	0.00	0.59	Infinity	2.03	1.86	16.64	1.00	0.11	89.04	28.41	24.92	69.72	0.00	0.75	Infinity	0.00	3.28	Infinity	22.41	18.94	43.34
62	22.12745188788371	100.58	22.00	63.37	0.00	0.08	Infinity	10.26	8.81	20.67	0.00	0.01	Infinity	0.00	1.04	Infinity	2.38	1.72	66.09	1.00	0.19	80.62	19.18	26.04	137.19	0.00	1.57	Infinity	0.00	5.71	Infinity	22.16	18.21	49.36
63	45.999478032789455	657.14	7.00	65.48	0.00	0.18	Infinity	0.00	8.39	Infinity	0.00	0.02	Infinity	0.00	1.40	Infinity	2.38	1.58	79.51	1.00	0.26	74.30	19.18	26.41	144.55	0.00	2.34	Infinity	0.00	7.48	Infinity	0.00	17.43	Infinity
64	27.796412907942024	115.82	24.00	66.41	0.00	0.31	Infinity	11.72	8.06	45.79	0.00	0.03	Infinity	0.00	1.72	Infinity	2.38	1.46	91.62	1.00	0.30	69.68	23.01	26.17	52.56	0.00	3.07	Infinity	0.00	8.70	Infinity	22.16	16.61	69.37
65	38.40876330987953	330.57	11.62	66.44	0.00	0.44	Infinity	2.37	7.73	331.10	0.00	0.03	Infinity	1.00	2.00	99.53	2.38	1.35	102.58	1.00	0.34	66.41	26.85	25.76	15.61	0.00	3.53	Infinity	0.00	9.50	Infinity	0.00	15.76	Infinity
66	27.290916752355542	182.63	14.94	66.60	0.00	0.53	Infinity	0.00	7.70	Infinity	0.00	0.04	Infinity	2.00	2.19	9.53	0.00	1.33	Infinity	1.00	0.36	64.01	26.85	25.37	21.10	0.00	3.76	Infinity	0.00	10.19	Infinity	13.69	15.12	28.81
67	25.734502926247576	125.38	20.53	66.84	0.00	0.61	Infinity	6.80	7.94	24.41	0.00	0.05	Infinity	2.00	2.32	15.89	0.00	1.37	Infinity	1.00	0.38	62.28	30.68	24.86	72.86	0.00	3.93	Infinity	0.00	10.76	Infinity	13.52	14.62	22.46
68	66.00992343979303	143.50	46.00	67.15	0.00	0.72	Infinity	32.23	8.43	108.20	0.00	0.07	Infinity	3.00	2.39	20.35	2.38	1.45	92.09	1.00	0.39	61.05	34.52	24.10	115.74	0.00	4.16	Infinity	0.00	11.22	Infinity	27.70	14.22	134.82
69	32.87408459566213	64.46	51.00	67.52	0.00	0.82	Infinity	23.00	9.08	60.52	0.00	0.08	Infinity	4.00	2.42	39.54	2.40	1.58	81.50	1.00	0.40	60.23	22.74	23.31	6.33	2.76	4.32	78.12	1.99	11.61	962.32	17.20	13.90	32.96
70	33.407808539619964	60.74	55.00	67.97	0.00	0.90	Infinity	26.00	9.86	62.09	0.00	0.10	Infinity	4.00	2.41	39.66	2.40	1.74	65.82	1.00	0.40	59.72	22.74	22.52	2.51	2.76	4.41	82.55	3.98	11.97	399.73	17.20	13.66	35.43
