scenario
T = 153
lambda_periods = 12
r_periods = 7
Iteration	Objective	Obj. change	Error	CPU time (s)
1	2083865.0233492614	44.46%	71.15%	0.0
2	296205.52032279765	85.79%	26.71%	0.0
3	208885.1842215455	29.48%	21.67%	0.0
4	159677.06708856003	23.56%	19.23%	0.0
5	119294.1896344997	25.29%	17.37%	0.0
6	77243.13582970244	35.25%	14.15%	0.0
7	65715.66412812327	14.92%	12.78%	0.0
8	61436.31491748516	6.51%	12.50%	0.0
9	59352.01204418644	3.39%	12.25%	0.0
10	57758.1614700518	2.69%	12.06%	0.0
11	55317.45646344811	4.23%	11.79%	0.0
12	53523.22683264601	3.24%	11.58%	0.0
13	51992.88674584243	2.86%	11.40%	0.0
14	50685.84660267367	2.51%	11.25%	0.0
15	49562.66339597829	2.22%	11.12%	0.0
16	48593.718705744075	1.95%	11.00%	0.0
17	47754.63549832211	1.73%	10.91%	0.0
18	47025.183096276276	1.53%	10.85%	0.0
19	46388.508031204685	1.35%	10.78%	0.0
20	45830.51927487323	1.20%	10.73%	0.0
21	45339.39281176785	1.07%	10.69%	0.0
22	44905.17404566917	0.96%	10.65%	0.0
23	44519.45824437547	0.86%	10.63%	0.0
24	43860.27928516489	1.48%	10.58%	0.0
25	43563.31809854517	0.68%	10.57%	0.0
26	43100.46572134071	1.06%	10.55%	0.0
27	42982.341155240865	0.27%	10.52%	0.0
28	42611.39454851245	0.86%	10.51%	0.0
29	42454.804966980315	0.37%	10.48%	0.0
30	42279.570371536975	0.41%	10.48%	0.0
31	42133.379728643326	0.35%	10.45%	0.0
32	41977.715095730746	0.37%	10.45%	0.0
33	41725.26300943039	0.60%	10.41%	0.0
34	41636.50278141328	0.21%	10.42%	0.0
35	39893.34222646273	4.19%	10.28%	0.0
36	39807.070280912376	0.22%	10.28%	0.0
37	39287.852882815554	1.30%	10.24%	0.0
38	39228.58399183873	0.15%	10.24%	0.0
39	39097.7666619679	0.33%	10.19%	0.0
40	39059.66371430077	0.10%	10.19%	0.0
41	38938.34999917605	0.31%	10.18%	0.0
42	38884.59179660954	0.14%	10.18%	0.0
43	38822.17661518874	0.16%	10.16%	0.0
44	38730.1550204272	0.24%	10.16%	0.0
45	38688.35917764186	0.11%	10.15%	0.0
46	37377.67110317468	3.39%	9.97%	0.0
47	37280.722765626466	0.26%	9.96%	0.0
48	37247.496755098706	0.09%	9.95%	0.0
49	37172.997177337216	0.20%	9.94%	0.0
50	37143.05145718907	0.08%	9.93%	0.0
51	36839.896690749025	0.82%	9.81%	0.0
52	36781.98297848292	0.16%	9.81%	0.0
53	36721.68041543591	0.16%	9.80%	0.0
54	36707.42119924958	0.04%	9.79%	0.0
55	36684.7458808197	0.06%	9.78%	0.0
56	36661.281332969615	0.06%	9.77%	0.0
57	36638.00293168181	0.06%	9.76%	0.0
58	36615.29180101064	0.06%	9.76%	0.0
59	36593.20122788684	0.06%	9.75%	0.0
60	36571.66778852051	0.06%	9.74%	0.0
61	36550.61935503066	0.06%	9.74%	0.0
62	36530.00298668158	0.06%	9.73%	0.0
63	36509.781384957714	0.06%	9.72%	0.0
64	36489.92578000036	0.05%	9.72%	0.0
65	36470.41204247187	0.05%	9.71%	0.0
66	36451.21921729555	0.05%	9.70%	0.0
67	36432.328980360515	0.05%	9.70%	0.0
68	36413.725300625876	0.05%	9.69%	0.0
69	36395.39412471525	0.05%	9.69%	0.0
70	36377.323080220674	0.05%	9.68%	0.0
71	36359.50121516199	0.05%	9.68%	0.0
72	36341.918778259314	0.05%	9.67%	0.0
73	36324.56703590483	0.05%	9.67%	0.0
74	36307.43811962606	0.05%	9.66%	0.0
75	36290.52489851812	0.05%	9.66%	0.0
76	36273.82087225657	0.05%	9.65%	0.0
77	36257.320081198384	0.05%	9.65%	0.0
78	36241.01703073351	0.04%	9.64%	0.0
79	36224.90662754136	0.04%	9.64%	0.0
80	36208.984125806695	0.04%	9.64%	0.0
81	36193.24508177642	0.04%	9.63%	0.0
82	36177.685315306975	0.04%	9.63%	0.0
83	36162.300877280984	0.04%	9.62%	0.0
84	36147.08802195506	0.04%	9.62%	0.0
85	36132.0431834541	0.04%	9.61%	0.0
86	36117.162955758504	0.04%	9.61%	0.0
87	36102.44407563422	0.04%	9.61%	0.0
88	36087.883408046204	0.04%	9.60%	0.0
89	36073.477933669456	0.04%	9.60%	0.0
90	36059.22473817139	0.04%	9.59%	0.0
91	36045.12100299568	0.04%	9.59%	0.0
92	36031.16399741528	0.04%	9.59%	0.0
93	36017.35107166309	0.04%	9.58%	0.0
94	36003.6796509762	0.04%	9.58%	0.0
95	35990.147230416806	0.04%	9.58%	0.0
96	35976.75137035277	0.04%	9.57%	0.0
97	35963.48969250152	0.04%	9.57%	0.0
98	35950.35987645129	0.04%	9.57%	0.0
99	35937.35965659291	0.04%	9.56%	0.0
100	35924.48681939937	0.04%	9.56%	0.0
